age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
25,25,289980,820,381,769,508,850,14,0,0,35,253
57,625,337895,668,807,31,862,1381,14,0,0,40,253
53,25,144361,820,807,393,862,850,14,0,0,38,253
44,25,128354,702,1932,445,837,850,521,0,0,40,253
41,434,101603,1135,807,734,862,850,14,0,0,40,253
29,25,271466,1135,381,31,508,850,14,0,0,43,253
25,25,32275,2361,807,445,484,1582,521,0,0,40,253
18,25,226956,820,381,340,846,850,521,0,0,30,2334
47,25,51835,894,807,31,484,850,521,0,1902,60,71
50,625,251585,668,1932,445,508,850,14,0,0,55,253
47,634,109832,820,1932,445,508,850,14,0,0,60,253
43,25,237993,2361,807,80,862,850,14,0,0,40,253
46,25,216666,534,807,393,862,850,14,0,0,40,1565
35,25,56352,1135,807,340,862,850,14,0,0,40,263
41,25,147372,820,807,1341,862,850,14,0,0,48,253
30,25,188146,820,807,393,862,850,14,5013,0,40,253
30,25,59496,668,807,636,862,850,14,2407,0,40,253
32,597,293936,1150,190,63,508,850,14,0,0,40,2334
48,25,149640,820,807,1239,862,850,14,0,0,40,253
42,25,116632,19,807,31,862,850,14,0,0,45,253
29,25,105598,2361,1932,80,508,850,14,0,0,58,253
36,25,155537,820,807,734,862,850,14,0,0,40,253
28,25,183175,2361,1932,1341,508,850,521,0,0,40,253
53,25,169846,820,807,1341,484,850,521,0,0,40,253
49,634,191681,2361,807,445,862,850,14,0,0,50,253
25,597,200681,2361,381,63,846,850,14,0,0,40,253
19,25,101509,2361,381,31,846,850,14,0,0,32,253
31,25,309974,668,1597,636,846,1381,521,0,0,40,253
29,575,162298,668,807,636,862,850,14,0,0,70,253
23,25,211678,2361,381,393,508,850,14,0,0,40,253
79,25,124744,2361,807,31,1274,850,14,0,0,20,253
27,25,213921,820,381,340,846,850,14,0,0,40,1565
40,25,32214,1915,807,1341,862,850,14,0,0,40,253
67,597,212759,543,807,63,862,850,14,0,0,2,253
18,25,309634,2324,381,340,846,850,521,0,0,22,253
31,1539,125927,1150,807,428,862,850,14,0,0,40,253
18,25,446839,820,381,636,508,850,14,0,0,30,253
52,25,276515,668,807,340,862,850,14,0,0,40,152
46,25,51618,820,807,340,484,850,521,0,0,40,253
59,25,159937,820,807,636,862,850,14,0,0,48,253
44,25,343591,820,1932,734,508,850,521,14344,0,40,253
53,25,346253,820,1932,636,846,850,521,0,0,35,253
49,1539,268234,820,807,632,862,850,14,0,0,40,253
33,25,202051,702,807,31,862,850,14,0,0,50,253
30,25,54334,539,381,636,508,850,14,0,0,40,253
43,625,410867,19,381,31,508,850,521,0,0,50,253
57,25,249977,1135,807,31,862,850,14,0,0,40,253
37,25,286730,2361,1932,734,837,850,521,0,0,40,253
28,25,212563,2361,1932,393,837,1381,521,0,0,25,253
30,25,117747,820,807,636,484,338,521,0,1573,35,2334
34,1539,226296,668,807,632,862,850,14,0,0,40,253
29,1539,115585,2361,381,769,508,850,14,0,0,50,253
48,575,191277,19,807,31,862,850,14,0,1902,60,253
37,25,202683,2361,807,636,862,850,14,0,0,48,253
48,25,171095,1915,1932,445,837,850,521,0,0,40,807
32,625,249409,820,381,340,846,1381,14,0,0,40,253
76,25,124191,702,807,445,862,850,14,0,0,40,253
44,25,198282,668,807,445,862,850,14,15024,0,60,253
47,575,149116,702,381,31,508,850,521,0,0,50,253
20,25,188300,2361,381,80,846,850,521,0,0,40,253
29,25,103432,820,381,734,508,850,14,0,0,40,253
32,634,317660,820,807,734,862,850,14,7688,0,40,253
17,597,304873,543,381,63,846,850,521,34095,0,32,253
30,25,194901,2324,381,769,846,850,14,0,0,40,253
31,1539,189265,820,381,1341,508,850,521,0,0,40,253
42,25,124692,820,807,769,862,850,14,0,0,40,253
24,25,432376,668,381,636,1274,850,14,0,0,40,253
38,25,65324,894,807,31,862,850,14,0,0,40,253
56,575,335605,820,807,340,862,850,14,0,1887,50,1454
28,25,377869,2361,807,636,484,850,521,4064,0,25,253
36,25,102864,820,381,393,846,850,521,0,0,40,253
53,25,95647,539,807,769,862,850,14,0,0,50,253
56,634,303090,2361,807,636,862,850,14,0,0,50,253
49,1539,197371,1135,807,734,862,1381,14,0,0,40,253
55,25,247552,2361,807,636,862,850,14,0,0,56,253
22,25,102632,820,381,734,508,850,14,0,0,41,253
21,25,199915,2361,381,340,846,850,521,0,0,40,253
40,25,118853,668,807,445,862,850,14,0,0,60,253
30,25,77143,668,381,445,846,1381,14,0,0,40,599
29,434,267989,668,807,31,862,850,14,0,0,50,253
19,25,301606,2361,381,340,846,1381,14,0,0,35,253
47,25,287828,668,807,445,484,850,521,0,0,40,253
20,25,111697,2361,381,1341,846,850,521,0,1719,28,253
31,25,114937,1915,807,1341,862,850,14,0,0,40,253
35,597,129305,820,807,63,862,850,14,0,0,40,253
39,25,365739,2361,1932,734,508,850,14,0,0,40,253
28,25,69621,1915,381,636,508,850,521,0,0,60,253
24,25,43323,820,381,340,508,850,521,0,1762,40,253
38,575,120985,820,807,734,862,850,14,4386,0,35,253
37,25,254202,668,807,636,862,850,14,0,0,50,253
46,25,146195,1915,1932,80,508,1381,521,0,0,36,253
38,625,125933,702,807,31,862,850,14,0,0,40,1348
43,575,56920,820,807,734,862,850,14,0,0,60,253
27,25,163127,1135,807,1341,484,850,521,0,0,35,253
20,25,34310,2361,381,636,846,850,14,0,0,20,253
49,25,81973,2361,807,734,862,338,14,0,0,40,253
61,634,66614,820,807,734,862,850,14,0,0,40,253
27,25,232782,2361,381,636,846,850,521,0,0,40,253
19,25,316868,2361,381,340,846,850,14,0,0,30,1565
45,25,196584,1135,381,31,508,850,521,0,1564,40,253
70,25,105376,2361,381,80,1274,850,14,0,0,40,253
31,25,185814,820,381,1239,837,1381,521,0,0,30,253
22,25,175374,2361,807,340,862,850,14,0,0,24,253
36,25,108293,820,1032,340,837,850,521,0,0,24,253
64,25,181232,2324,807,734,862,850,14,0,2179,40,253
43,597,174662,2361,1932,63,508,850,521,0,0,40,253
47,1539,186009,2361,1932,1341,837,850,521,0,0,38,1565
34,25,198183,820,381,1341,508,850,521,0,0,40,253
33,25,163003,668,381,445,1274,338,521,0,0,40,427
21,25,296158,820,381,734,846,850,14,0,0,35,253
52,597,252903,820,1932,63,508,850,14,0,0,45,253
48,25,187715,820,807,734,862,850,14,0,0,46,253
23,25,214542,668,381,769,508,850,14,0,0,40,253
71,575,494223,2361,1597,636,837,1381,14,0,1816,2,253
29,25,191535,820,1932,734,508,850,14,0,0,60,253
42,25,228456,668,1597,340,1274,1381,14,0,0,50,253
68,597,38317,1090,1932,63,508,850,521,0,0,20,253
25,25,252752,820,381,340,837,850,521,0,0,40,253
44,634,78374,702,1932,445,837,338,521,0,0,40,253
28,25,88419,820,381,445,508,338,521,0,0,40,807
45,575,201080,702,807,636,862,850,14,0,0,40,253
36,25,207157,2361,1932,340,837,850,521,0,0,40,1565
39,625,235485,1915,381,445,508,850,14,0,0,42,253
46,434,102628,702,1032,632,837,850,14,0,0,40,253
18,25,25828,2324,381,769,846,850,14,0,0,16,253
66,1539,54826,1135,1032,31,508,850,521,0,0,20,253
27,25,124953,820,381,340,508,850,14,0,1980,40,253
28,434,175325,820,807,632,862,850,14,0,0,40,253
51,25,96062,2361,807,636,862,850,14,0,1977,40,253
27,25,428030,668,381,734,508,850,14,0,0,50,253
28,434,149624,668,807,31,862,850,14,0,0,40,253
27,25,253814,820,190,636,837,850,521,0,0,25,253
21,25,312956,820,381,734,846,1381,14,0,0,40,253
34,25,483777,820,381,769,508,1381,14,0,0,40,253
18,25,183930,820,381,340,846,850,14,0,0,12,253
33,25,37274,668,807,31,862,850,14,0,0,65,253
44,1539,181344,2361,807,445,862,1381,14,0,0,38,253
43,25,114580,2361,1932,1341,508,850,521,0,0,40,253
30,25,633742,2361,381,734,508,1381,14,0,0,45,253
40,25,286370,1150,807,393,862,850,14,0,0,40,1565
37,625,29054,2361,807,1341,862,850,14,0,0,42,253
34,25,304030,820,807,1341,862,1381,14,0,0,40,253
41,575,143129,668,1932,445,508,850,521,0,0,40,253
53,597,135105,668,1932,63,508,850,521,0,0,50,253
31,25,99928,702,807,31,484,850,521,0,0,50,253
58,434,109567,19,807,31,862,850,14,0,0,1,253
38,25,155222,2361,1932,393,508,1381,521,0,0,28,253
24,25,159567,2361,807,393,862,850,14,0,0,40,253
41,1539,523910,668,807,734,862,1381,14,0,0,40,253
47,25,120939,2361,807,80,862,850,14,0,0,45,253
41,625,130760,668,807,80,862,850,14,0,0,24,253
23,25,197387,534,807,1239,1274,850,14,0,0,40,1565
36,25,99374,2361,1932,734,508,850,14,0,0,40,253
40,625,56795,702,381,445,508,850,521,14084,0,55,253
35,25,138992,702,807,31,1274,850,14,7298,0,40,253
24,575,32921,820,381,636,508,850,14,0,0,40,253
26,25,397317,702,381,31,508,850,521,0,1876,40,253
19,597,170653,820,381,63,846,850,14,0,0,40,910
51,25,259323,668,807,445,862,850,14,0,0,50,253
42,1539,254817,2361,381,31,508,850,521,0,1340,40,253
37,434,48211,820,1932,1341,837,850,521,0,0,35,253
18,25,140164,2324,381,636,846,850,521,0,0,40,253
36,25,128757,668,807,340,862,1381,14,7298,0,36,253
35,25,36270,820,1932,734,508,850,14,0,0,60,253
58,634,210563,820,807,636,484,850,521,15024,0,35,253
17,25,65368,2324,381,636,846,850,521,0,0,12,253
44,1539,160943,820,807,1239,862,1381,14,0,0,40,253
37,25,208358,820,807,734,862,850,14,0,0,40,253
35,25,153790,2361,381,636,508,653,521,0,0,40,253
60,25,85815,820,807,734,862,338,14,0,0,40,253
54,634,125417,1150,807,393,862,850,14,0,0,40,253
37,25,635913,668,381,445,508,1381,14,0,0,60,253
50,25,313321,1915,1932,636,508,850,521,0,0,40,253
38,25,182609,668,807,636,862,850,14,0,0,50,745
45,25,109434,668,807,31,862,850,14,0,0,55,253
25,25,255004,543,381,734,508,850,14,0,0,40,253
31,25,197860,2361,807,769,862,850,14,0,0,40,253
64,597,187656,1090,1932,63,508,850,14,0,0,40,253
90,25,51744,820,381,340,508,1381,14,0,2206,40,253
54,25,176681,820,807,1341,862,1381,14,0,0,20,253
53,1539,140359,1208,381,393,508,850,521,0,0,35,253
18,25,243313,820,381,636,846,850,521,0,0,40,253
60,597,24215,543,1932,63,508,653,521,0,0,10,253
66,575,167687,820,807,428,862,850,14,1409,0,50,253
75,25,314209,1135,1032,1341,508,850,521,0,0,20,2126
65,25,176796,820,1932,1341,508,850,521,0,0,40,253
35,25,538583,2324,1597,1239,508,1381,14,3674,0,40,253
41,25,130408,820,1932,636,837,1381,521,0,0,38,253
25,25,159732,2361,381,1341,508,850,14,0,0,42,253
33,25,110978,2361,1932,734,1274,1582,521,0,0,40,253
28,25,76714,894,381,31,508,850,14,0,0,55,253
59,434,268700,820,807,340,862,850,14,0,0,40,253
40,434,170525,2361,381,1341,508,850,521,0,0,38,253
41,25,180138,668,807,445,862,850,14,0,0,50,1348
38,1539,115076,702,807,445,862,850,14,0,0,70,253
23,25,115458,820,381,1239,846,850,14,0,0,40,253
40,25,347890,668,807,31,862,850,14,0,0,40,253
41,575,196001,820,807,340,484,850,521,0,0,20,253
24,434,273905,1915,807,632,862,850,14,0,0,50,253
20,597,119156,2361,381,63,846,850,14,0,0,20,253
38,25,179488,2361,1932,734,508,850,14,0,1741,40,253
56,25,203580,820,807,1341,862,850,14,0,0,35,2334
58,25,236596,820,807,1341,862,850,14,0,0,45,253
32,25,183916,820,381,340,508,850,521,0,0,34,253
40,25,207578,1915,807,80,862,850,14,0,1977,60,253
45,25,153141,820,807,1341,862,850,14,0,0,40,2334
41,25,112763,894,807,31,484,850,521,0,0,40,253
42,25,390781,668,807,1341,484,1381,521,0,0,40,253
59,1539,171328,543,1032,340,837,1381,521,0,0,30,253
19,1539,27382,2361,381,1341,846,850,14,0,0,40,253
58,25,259014,2361,381,1239,508,850,14,0,0,20,253
42,575,303044,820,807,428,862,338,14,0,0,40,2657
20,25,117789,820,381,340,846,850,521,0,0,40,253
32,25,172579,820,1597,340,508,850,521,0,0,30,253
45,25,187666,1135,1032,445,508,850,521,0,0,45,253
50,25,204518,1150,1932,734,508,850,14,0,0,40,253
36,25,150042,668,1932,31,846,850,521,0,0,40,253
45,25,98092,820,807,636,862,850,14,0,0,60,253
17,25,245918,2324,381,340,846,850,14,0,0,12,253
59,25,146013,2361,807,636,862,850,14,4064,0,40,253
26,25,378322,2324,807,734,862,850,14,0,0,40,253
37,634,257295,2361,807,445,862,338,14,0,0,75,935
19,597,218956,2361,381,63,846,850,14,0,0,24,1454
64,25,21174,820,807,445,862,850,14,0,0,40,253
33,25,185480,668,381,31,508,850,521,0,0,45,253
33,25,222205,820,807,734,484,850,521,0,0,40,253
61,25,69867,820,807,445,862,850,14,0,0,40,253
17,25,191260,539,381,340,846,850,14,1055,0,24,253
50,575,30653,702,807,428,862,850,14,2407,0,98,253
27,1539,209109,702,381,31,846,850,14,0,0,35,253
30,25,70377,820,1932,31,846,850,521,0,0,40,253
43,25,477983,820,807,769,862,1381,14,0,0,40,253
44,25,170924,2361,807,734,862,850,14,7298,0,40,253
35,25,190174,2361,381,445,508,850,521,0,0,40,253
25,25,193787,2361,381,80,846,850,521,0,0,40,253
24,25,279472,2361,807,393,484,850,521,7298,0,48,253
22,25,34918,668,381,31,508,850,521,0,0,15,599
42,1539,97688,2361,807,734,862,850,14,5178,0,40,253
34,25,175413,1915,1932,636,837,1381,521,0,0,45,253
60,25,173960,668,1932,31,508,850,521,0,0,42,253
21,25,205759,820,381,769,846,850,14,0,0,40,253
57,625,425161,702,807,636,862,850,14,15024,0,40,253
41,25,220531,894,807,31,862,850,14,0,0,60,253
50,25,176609,2361,1932,340,508,850,14,0,0,45,253
25,25,371987,668,381,445,508,850,521,0,0,40,253
50,25,193884,1150,807,734,862,850,14,0,0,40,2153
36,25,200352,668,807,31,862,850,14,0,0,45,253
31,25,127595,820,1932,31,508,850,521,0,0,40,253
29,1539,220419,668,381,632,508,850,14,0,0,56,253
21,25,231931,2361,381,636,846,850,14,0,0,45,253
27,25,248402,668,381,80,837,1381,521,0,0,40,253
65,25,111095,820,807,1239,862,850,14,0,0,16,253
37,634,57424,668,1932,636,508,850,521,0,0,60,253
39,597,157443,702,807,63,484,338,521,3464,0,40,2334
24,25,278130,820,381,734,846,850,14,0,0,40,253
38,25,169469,820,1932,636,508,850,14,0,0,80,253
48,25,146268,668,807,1341,862,850,14,7688,0,40,253
21,25,153718,2361,381,340,508,338,521,0,0,25,253
31,25,217460,820,807,1239,862,850,14,0,0,45,253
55,25,238638,820,807,636,862,850,14,4386,0,40,253
24,25,303296,2361,807,1341,484,338,521,0,0,40,1034
43,25,173321,820,1932,1341,508,850,521,0,0,40,253
26,25,193945,1915,381,80,508,850,14,0,0,45,253
46,25,83082,1915,381,31,508,850,521,0,0,33,253
35,25,193815,1915,807,1341,862,850,14,0,0,40,253
41,634,34987,2361,807,428,862,850,14,0,0,54,253
26,25,59306,668,381,636,508,850,14,0,0,40,253
34,25,142897,702,807,445,862,338,14,7298,0,35,1381
19,597,860348,2361,381,63,846,1381,521,0,0,25,253
36,575,205607,668,1932,31,508,1381,521,0,0,40,253
22,25,199698,2361,381,636,846,850,14,0,0,15,253
24,25,191954,2361,381,393,508,850,14,0,0,40,253
77,575,138714,2361,807,636,862,850,14,0,0,40,253
22,25,399087,534,807,393,1274,850,521,0,0,40,1565
29,25,423158,2361,381,80,508,850,521,0,0,40,253
62,25,159841,820,1032,340,508,850,521,0,0,24,253
39,575,174308,820,807,445,862,850,14,0,0,40,253
43,25,50356,2361,807,734,862,850,14,0,1485,50,253
35,25,186110,820,1932,1239,508,850,14,0,0,45,253
29,25,200381,2324,381,445,508,850,521,0,0,40,253
76,575,174309,702,807,734,862,850,14,0,0,10,253
63,575,78383,820,807,428,862,850,14,0,0,45,253
23,597,211601,1135,381,63,846,1381,521,0,0,15,253
43,25,187728,2361,807,31,484,850,521,0,1887,50,253
58,575,321171,820,807,769,862,850,14,0,0,40,253
66,25,127921,820,381,1239,508,850,14,2050,0,55,253
41,25,206565,2361,381,734,508,1381,14,0,0,45,253
26,25,224563,668,381,1341,508,850,14,0,0,40,253
47,25,178686,1135,381,340,508,850,14,0,0,40,253
55,1539,98545,543,807,1341,862,850,14,0,0,40,253
53,25,242606,820,807,1239,862,850,14,0,0,40,253
17,25,270942,534,381,340,1274,850,14,0,0,48,1565
30,25,94235,820,381,734,1274,850,14,0,0,40,253
49,25,71195,702,381,31,508,850,14,0,0,60,253
19,25,104112,820,381,636,837,1381,14,0,0,30,1307
45,25,261192,820,807,340,862,1381,14,0,0,40,253
26,25,94936,1915,381,636,508,850,14,0,0,40,253
38,25,296478,1135,807,734,862,850,14,7298,0,40,253
36,434,119272,820,807,632,862,850,14,7298,0,40,253
33,25,85043,820,381,428,508,850,14,0,0,20,253
22,434,293364,2361,381,632,846,1381,521,0,0,40,253
43,575,241895,668,381,636,508,850,14,0,0,42,253
67,597,36135,2324,807,63,862,850,14,0,0,8,253
30,597,151989,1135,1932,63,837,850,521,0,0,40,253
56,25,101128,1915,190,340,508,850,14,0,0,25,1348
31,25,156464,668,381,31,846,850,14,0,0,25,253
33,25,117963,668,807,445,862,850,14,0,0,40,253
26,25,192262,820,807,340,862,850,14,0,0,40,253
33,25,111363,668,807,445,862,850,14,0,0,40,253
46,1539,329752,2324,807,1239,862,850,14,0,0,30,253
59,597,372020,668,807,63,862,850,14,0,0,40,253
38,625,95432,820,807,1341,862,850,14,0,0,40,253
65,25,161400,2324,1032,340,837,1582,14,0,0,40,253
40,25,96129,1135,807,80,862,850,14,0,0,40,253
42,25,111949,820,807,1341,484,850,521,0,0,35,253
26,575,117125,539,807,734,862,850,14,0,0,40,1246
36,25,348022,543,807,340,484,850,521,0,0,24,253
62,25,270092,702,807,31,862,850,14,0,0,40,253
43,25,180609,668,807,1239,862,850,14,0,0,45,253
43,25,174575,668,1932,445,508,850,14,0,1564,45,253
22,25,410439,820,190,636,508,850,14,0,0,55,253
28,25,92262,820,807,734,862,850,14,0,0,40,253
56,575,183081,2361,807,636,862,850,14,0,0,45,253
22,25,362589,1915,381,636,508,850,521,0,0,15,253
57,25,212448,668,1932,445,508,850,521,0,0,45,253
39,25,481060,820,1932,636,837,850,521,0,0,40,253
26,625,185885,2361,381,1341,837,850,521,0,0,15,253
17,25,89821,2324,381,340,846,850,14,0,0,10,253
40,434,184018,1135,807,393,862,850,14,0,0,38,253
45,25,256649,820,807,393,862,1381,14,0,0,40,253
44,25,160323,820,381,734,508,1381,14,0,0,40,253
20,1539,350845,2361,381,1341,846,850,521,0,0,10,253
33,25,267404,820,807,734,484,850,521,0,0,40,253
23,25,35633,2361,381,636,508,850,14,0,0,40,253
46,575,80914,702,1932,445,508,850,14,0,0,30,253
38,25,172927,820,807,636,862,850,14,0,0,50,253
54,25,174319,820,1932,1239,508,850,14,0,0,40,253
46,25,214955,534,1932,734,508,850,521,0,2339,45,253
25,25,344991,2361,807,734,862,850,14,0,0,40,253
46,25,108699,2361,1932,636,508,850,521,0,0,40,253
36,1539,117312,2361,807,1239,484,850,521,0,0,40,253
23,25,396099,820,381,340,508,850,521,0,0,25,253
29,25,134152,820,1597,393,508,850,14,0,0,40,253
44,25,162028,2361,807,1341,484,850,521,0,2415,6,253
19,25,25429,2361,381,1341,846,850,521,0,0,16,253
19,25,232392,820,381,340,1274,850,521,0,0,40,253
35,25,220098,820,807,340,484,850,521,0,0,40,253
27,25,301302,668,381,734,508,850,14,0,0,50,253
46,575,277946,1915,1597,734,508,850,14,0,0,40,253
34,434,98101,668,807,445,862,850,14,7688,0,45,2334
34,25,196164,820,381,340,508,850,521,0,0,35,253
44,25,115562,2361,807,80,862,850,14,0,0,40,253
45,25,96975,2361,1932,769,837,850,521,0,0,40,253
20,597,137300,820,381,63,1274,850,521,0,0,35,253
25,25,86872,668,807,445,862,850,14,0,0,55,253
52,634,132178,668,807,445,862,850,14,0,0,50,253
20,25,416103,2361,381,769,846,850,14,0,0,40,253
28,25,108574,2361,381,340,508,850,521,0,0,40,253
50,434,288353,668,807,632,862,850,14,0,0,40,253
34,25,227689,1135,1932,80,508,850,521,0,0,64,253
28,25,166481,1150,807,769,862,1582,14,0,2179,40,263
41,25,445382,702,807,445,862,850,14,0,1977,65,253
28,25,110145,820,807,1341,862,850,14,0,0,40,253
46,575,317253,820,807,734,862,850,14,0,0,25,253
28,597,123147,2361,807,63,484,850,521,0,1887,40,253
32,25,364657,2361,807,445,862,850,14,0,0,50,253
41,1539,42346,2361,1932,340,508,1381,521,0,0,24,253
24,25,241951,820,381,769,837,1381,521,0,0,40,253
33,25,118500,2361,1932,445,837,850,521,0,0,40,253
46,25,188386,19,807,445,862,850,14,15024,0,60,253
31,434,1033222,2361,807,393,862,850,14,0,0,40,253
35,25,92440,735,1932,734,508,850,14,0,0,50,253
52,25,190762,1090,807,393,862,850,14,0,0,40,1565
30,25,426017,2324,381,340,846,850,521,0,0,19,253
34,1539,243867,2324,1597,393,508,1381,14,0,0,40,253
34,434,240283,820,1932,1239,837,850,521,0,0,40,253
20,25,61777,2361,807,636,862,850,14,0,0,30,253
17,25,175024,2324,381,769,846,850,14,2176,0,18,253
32,434,92003,668,807,445,484,850,521,0,0,40,253
29,25,188401,820,1932,428,508,850,14,0,0,40,253
33,25,228528,543,381,734,837,850,521,0,0,35,253
25,25,133373,820,807,1239,862,850,14,0,0,60,253
36,625,255191,702,381,31,508,850,14,0,1408,40,253
23,25,204653,820,381,769,508,850,14,0,0,72,173
63,634,222289,820,807,445,862,850,14,0,0,40,253
47,1539,287480,702,807,31,862,850,14,0,0,40,253
80,597,107762,820,1032,63,508,850,14,0,0,24,253
17,597,202521,2324,381,63,846,850,14,0,0,40,253
40,575,204116,668,190,31,508,850,521,2174,0,40,253
30,25,29662,1915,807,340,484,850,521,0,0,25,253
27,25,116358,2361,381,734,846,338,14,0,1980,40,427
33,25,208405,702,807,31,862,850,14,0,0,50,253
34,1539,284843,820,381,428,508,1381,14,594,0,60,253
34,1539,117018,2361,381,632,508,850,521,0,0,40,253
23,25,81281,2361,807,1341,862,850,14,0,0,40,253
42,1539,340148,2361,807,1341,484,850,521,0,0,40,253
29,25,363425,668,381,31,508,850,14,0,0,40,253
45,25,45857,820,1932,1341,508,850,521,0,0,28,253
24,625,191073,820,381,2361,846,850,14,0,0,40,253
44,25,116632,2361,807,31,862,850,14,0,0,40,253
27,25,405855,539,381,734,1274,850,14,0,0,40,1565
20,25,298227,2361,381,636,508,850,14,0,0,35,253
44,25,290521,820,1032,445,837,1381,521,0,0,40,253
51,25,56915,820,807,734,862,653,14,0,0,40,253
20,25,146538,820,807,393,862,850,14,0,0,40,253
17,597,258872,2324,381,63,846,850,521,0,0,5,253
19,25,206399,820,381,393,846,1381,521,0,0,40,253
45,634,197332,2361,807,734,862,850,14,0,0,55,253
60,25,245062,820,807,734,862,850,14,0,0,40,253
42,25,197583,1915,807,445,862,1381,14,0,0,40,2334
44,575,234885,820,807,636,484,850,521,0,0,40,253
40,25,72887,1135,807,393,862,338,14,0,0,40,253
30,25,180374,820,807,445,484,850,521,0,0,40,253
38,25,351299,2361,807,1239,862,1381,14,0,0,50,253
23,25,54012,820,807,1239,862,850,14,0,0,60,253
32,597,115745,2361,807,63,862,850,14,0,0,40,253
44,25,116632,1915,381,428,846,850,14,0,0,40,253
54,1539,288825,820,807,1239,862,1381,14,0,0,40,253
32,25,132601,668,807,31,862,850,14,0,0,50,253
50,25,193374,1090,190,734,837,850,14,0,0,40,253
24,25,170070,668,381,80,508,850,521,0,0,20,253
37,25,126708,820,807,1341,484,850,521,0,0,60,253
52,25,35598,820,1932,1239,837,850,14,0,0,40,253
38,25,33983,2361,807,1239,862,850,14,0,0,40,253
49,25,192776,702,807,445,862,850,14,0,1977,45,253
30,25,118551,668,807,80,484,850,521,0,0,16,253
60,25,201965,2361,381,31,837,850,14,0,0,40,253
22,597,139883,2361,381,63,846,850,14,0,0,40,253
35,25,285020,820,381,734,508,850,14,0,0,40,253
30,25,303990,820,381,1239,508,850,14,0,0,60,253
67,25,49401,1135,1932,340,508,850,521,0,0,24,253
46,25,279196,668,381,734,508,850,521,0,0,40,253
17,25,211870,539,381,340,508,850,14,0,0,6,253
22,25,281432,2361,381,769,846,850,14,0,0,30,253
27,25,161155,543,381,340,508,850,14,0,0,40,253
23,25,197904,820,381,340,837,850,521,0,0,35,253
33,25,111746,1915,807,734,862,850,14,0,0,45,1246
43,575,170721,2361,807,734,862,850,14,0,0,20,253
28,434,70100,668,381,31,508,850,14,0,0,20,253
41,25,193626,820,190,734,837,850,521,0,0,40,253
52,597,271749,735,381,63,1274,1381,14,594,0,40,253
25,25,189775,2361,190,1341,846,1381,521,0,0,20,253
63,597,401531,1090,807,63,862,850,14,0,0,35,253
59,1539,286967,820,807,1239,862,850,14,0,0,45,253
45,1539,164427,668,1932,31,837,850,521,0,0,40,253
38,25,91039,668,807,636,862,850,14,15024,0,60,253
40,25,347934,820,381,340,508,850,521,0,0,35,253
46,625,371373,820,1932,1341,508,850,14,0,0,40,253
35,25,32220,1915,381,445,508,850,521,0,0,60,253
