Id,CreationDate,PostId,RelatedPostId,LinkTypeId
91229,8114882,3810,539,1
91230,8114882,3810,548,1
91231,8114904,3704,3653,1
92603,8168799,3463,3115,1
92604,8168799,3463,1881,1
92726,8173176,3556,3752,1
92801,8176099,3845,3708,1
94250,8236756,3822,3672,1
95316,8266110,3069,1595,1
95485,8269493,3814,3460,1
95486,8269493,3814,499,1
95584,8273338,3879,3842,1
96141,8300101,1337,423,1
96168,8304022,3818,206,1
97223,8371245,3734,643,1
97538,8399592,3911,1611,1
98127,8437258,3926,575,1
98128,8437258,3926,1266,1
98157,8438253,3943,3730,1
98752,8464548,3958,3,1
98753,8464548,3958,73,1
98754,8464548,3958,1676,1
100255,8577640,2032,652,1
100497,8586983,1576,612,1
100498,8586983,1576,2742,1
100499,8586983,1576,3369,1
101352,8614338,3893,3252,1
101476,8620176,3907,3611,1
101669,8629021,3999,2691,1
101936,8668064,4013,665,1
102009,8673218,4009,1015,1
102058,8676177,3989,4017,1
104677,9065191,4093,222,1
106296,9230008,4142,4146,1
106602,9277797,4150,899,1
112612,9403851,2576,2401,1
116088,9465988,4172,859,1
122839,9667432,4298,4220,1
122840,9667432,4298,3316,1
123791,9723839,4312,4175,1
124142,9738443,4175,4312,1
126543,9836361,4364,4354,1
126569,9836410,4354,4364,1
131345,10026310,4466,1980,1
131371,10026362,1980,4466,1
132522,10089344,4485,3207,1
132523,10089344,4485,2917,1
134924,10281887,4500,4530,1
136400,10373081,4568,4539,1
136426,10373257,4569,939,1
137577,10461867,4606,4298,1
142554,10673636,4708,2492,1
142955,10695337,4734,1576,1
143731,10740154,4753,4267,1
148507,11052767,4839,3270,1
149433,11089037,4854,4272,1
149909,11114619,4877,138,1
151785,11240914,4914,834,1
151811,11241537,4914,577,1
151812,11242142,4914,3392,1
153113,11306410,4949,4942,1
153839,11397199,118,354,1
154340,11463035,4970,4766,1
156886,11618775,5026,1521,1
156887,11618775,5026,6,1
159238,11788328,5078,1797,1
160039,11856218,5097,5093,1
168040,12133850,5181,5107,1
170516,12172117,5191,5011,1
175642,12307436,5249,5238,1
175668,12307472,5238,5249,1
180594,12423354,5306,3702,1
181695,12480321,5333,5171,1
182821,12515685,5359,1576,1
185122,12646656,5382,1848,1
189248,12798055,5450,5184,1
189774,12830510,5465,4768,1
190875,12865027,4991,2149,1
191901,12932329,5517,152,1
193027,12964078,5542,1,1
193228,12972719,5542,5181,1
195354,13053871,5560,3194,1
195380,13065240,5572,3466,1
199681,13335135,5591,1164,1
203933,13547813,5700,2432,1
204934,13625978,4172,527,1
206110,13684935,5724,4334,1
208111,13824803,5750,5747,1
208962,13899091,5728,4830,1
213138,14225298,5819,4220,1
214739,14303824,4551,5808,1
217790,14562807,5912,2234,1
218142,14571589,5912,6,1
218418,14583733,5918,2306,1
227119,14825353,6033,5700,1
229245,14865785,6050,5360,1
231296,14922117,6066,6050,1
231322,14923640,6063,4551,1
233298,14988367,6081,2492,1
233299,14988367,6081,2824,1
235025,15036744,6093,421,1
240104,15195333,6139,5750,1
240605,15204225,6147,5504,1
242507,15280786,6169,3921,1
246510,15440211,6226,5686,1
246936,15449693,6219,6039,1
247062,15453525,6234,3158,1
247213,15460439,6151,3006,1
248389,15511866,6234,4211,1
248665,15520072,6243,6096,1
255817,15856938,6302,6268,1
255868,15860726,6337,6127,1
256019,15865702,6342,6337,1
258145,15948206,6353,2619,1
258646,15963692,6379,5171,1
259772,15995480,6400,6308,1
260323,16024479,6355,6314,1
261149,16065395,6418,6358,1
261475,16081217,6421,1883,1
262101,16128337,6433,5347,1
263953,16228555,6454,3652,1
265604,16318937,6475,5617,1
266830,16362861,6478,5443,1
267056,16377805,6487,4030,1
268357,16442228,6499,5782,1
269533,16484629,6538,414,1
269759,16489146,1875,2275,1
272210,16588086,6599,5196,1
272286,16603022,6601,155,1
272512,16627615,6604,4517,1
273064,16648884,2272,2182,1
273990,16687291,6652,2356,1
274591,16724530,2641,665,1
274592,16724996,6664,5700,1
274968,16754325,6670,168,1
276844,16932345,2356,6493,1
277470,16988569,6652,1525,1
277496,16994489,6753,798,1
277572,16996180,6753,5573,1
278798,17127459,2356,2272,1
279749,17205685,6814,1028,1
279950,17225675,6807,6780,1
280001,17230109,2742,6575,1
280202,17249539,6840,6814,1
281653,17326402,4350,2981,1
282204,17336018,6883,6856,1
282255,17336478,6867,5504,1
282331,17342547,6876,6807,1
283507,17538235,6943,3890,1
283783,17565660,6950,6856,1
283784,17565660,6950,1812,1
284385,17604575,6966,1164,1
284411,17605253,6967,6856,1
284887,17634243,6976,1980,1
284963,17640563,6978,6920,1
287515,17844349,2492,7022,1
287591,17852548,2492,2516,1
288492,17901983,6225,3038,1
288619,17912976,7074,6455,1
288670,17917776,7084,7022,1
288671,17917776,7084,2,1
288672,17917776,7084,2492,1
290023,18003613,7100,4239,1
290049,18017145,7112,6478,1
290725,18090680,7110,812,1
291076,18126264,7152,1444,1
291077,18127844,7155,213,1
291078,18127844,7155,1444,1
291079,18128076,7153,2770,1
291930,18174540,7190,4023,1
291931,18174747,7139,2245,1
292882,18232733,7225,2121,1
294059,18298227,7258,7209,1
295635,18381713,7293,2615,1
295811,18389090,7307,2547,1
295887,18393503,7313,7115,1
295913,18393561,7115,7313,1
296539,18451195,1432,1412,1
297015,18467683,7336,3532,1
297066,18469122,7268,980,1
300143,18742361,7426,7040,1
301369,18798710,7450,6780,1
302320,18845609,7476,2917,1
303321,18892370,7505,4884,1
304047,18929294,7476,7426,1
305448,19010076,7528,7426,1
306149,19053821,7546,5344,1
306175,19056024,7521,6330,1
307227,19134167,7610,3458,1
307478,19153715,7613,2467,1
307729,19176532,7638,3623,1
307880,19187507,7637,3614,1
311781,19235154,4383,4239,1
319107,19265115,7668,6795,1
321258,19280328,6907,7630,1
321259,19280629,7630,6907,1
327210,19318162,7675,3874,1
346836,19452696,7732,7727,1
358039,19654430,7742,4978,1
358590,19674091,7829,6763,1
359916,19727037,7865,7319,1
360117,19741561,7813,256,1
360293,19756366,7845,798,1
360294,19756719,7845,4810,1
360495,19768014,5733,7515,1
362647,19864927,7912,7630,1
362648,19864927,7912,6907,1
362974,19906150,7923,203,1
362975,19907797,7919,4612,1
365051,20016055,7815,2516,1
365052,20016099,2516,7815,1
365053,20016324,7959,346,1
367429,20100874,8021,7977,1
367530,20104311,8025,1773,1
368081,20118503,8033,5504,1
368157,20120900,8029,5913,1
369233,20175293,8071,3730,1
369759,20192941,8063,3730,1
370960,20255971,8103,7258,1
372637,20341769,8147,5347,1
373613,20371829,8168,2910,1
373864,20381118,8159,5026,1
374090,20390679,8185,7975,1
374316,20410905,8180,2469,1
374517,20424447,8196,8192,1
375168,20458895,8185,7376,1
375344,20464976,8196,7853,1
375745,20499896,7853,8196,1
376121,20520929,8225,138,1
376522,20532327,8239,8232,1
376548,20532387,8232,8239,1
376574,20533293,8239,1761,1
377100,20559475,8246,5534,1
377726,20604952,8237,5135,1
379403,20670271,8299,2828,1
379829,20685329,8300,5750,1
380555,20704041,8321,4099,1
380581,20705919,8321,8237,1
381257,20729557,8328,6364,1
381633,20749938,7996,8340,1
382734,20793688,8340,7996,1
382860,20794644,8358,8187,1
383486,20818497,8377,652,1
383512,20823778,8377,170,1
383688,20832964,8157,8021,1
383814,20837118,8335,8358,1
385890,20909374,8380,7772,1
386716,20950608,8347,8419,1
387743,20996589,8470,8419,1
387994,21011895,8446,7542,1
388020,21012503,8470,4220,1
388521,21040675,8483,3386,1
389222,21084460,8455,2906,1
389723,21120772,8511,3559,1
390274,21158751,8524,5171,1
390575,21189388,8557,8513,1
390576,21196110,8559,8236,1
392452,21277114,8581,485,1
392478,21280257,8586,841,1
392479,21281799,8604,3400,1
392505,21281988,8566,7813,1
392656,21287826,8614,7238,1
392758,21295117,8617,8358,1
393811,21339292,8634,7630,1
393812,21339292,8634,6907,1
394663,21382078,8661,4832,1
398667,21567447,8769,3947,1
398918,21577323,8777,1708,1
399319,21604066,8784,8718,1
400020,21657716,8799,8797,1
400796,21694319,8791,6498,1
401072,21719340,7430,8104,1
401073,21719340,7430,8477,1
404049,21829033,8877,8846,1
404050,21829033,8877,3634,1
410701,21908325,8891,6195,1
419927,21984078,8956,10,1
419928,21984078,8956,8071,1
419929,21984078,8956,3730,1
421655,21996577,8960,8662,1
426956,22028402,8972,1399,1
427407,22031382,8987,8899,1
432659,22084559,9009,1444,1
432660,22084559,9009,298,1
434586,22100624,6498,8955,1
435137,22105066,8036,7467,1
435688,22111276,9020,7419,1
435914,22114060,9022,4364,1
437015,22129461,9027,8502,1
442842,22179174,9050,2086,1
443668,22188584,9050,8370,1
447319,22242017,9074,8370,1
447320,22242017,9074,7419,1
447396,22242474,9074,6890,1
448922,22265038,9062,8774,1
450198,22296761,5690,6601,1
457826,22511474,9192,5918,1
458678,22528841,9213,8742,1
458679,22528930,9215,1521,1
461880,22603280,9201,6127,1
462431,22620310,9278,5092,1
462632,22625679,9280,9131,1
465408,22698749,9292,8570,1
465910,22715507,9327,486,1
466386,22733129,9333,8586,1
470738,22861661,9381,9208,1
470789,22865085,9383,8025,1
471390,22893971,9377,9396,1
472091,22930846,2715,8844,1
472617,22950454,9311,4,1
472618,22950551,4,9311,1
474519,23036391,9435,9040,1
474520,23036674,9427,4220,1
476146,23084194,9454,203,1
476672,23096934,9464,4756,1
476698,23098867,9467,9341,1
476724,23098947,9341,9467,1
476875,23105716,9449,6309,1
477351,23124239,9475,3331,1
477352,23124239,9475,2777,1
477353,23124239,9475,3238,1
477629,23131825,9478,8285,1
477630,23131983,9478,1112,1
477681,23135857,6309,9464,1
480132,23218114,9510,5347,1
481283,23263096,9544,9341,1
481659,23280913,9536,7,1
482486,23309548,8007,7531,1
482862,23333774,9501,7200,1
483263,23353368,9573,2492,1
483264,23354616,9573,1386,1
483790,23382839,9587,9508,1
487966,23621313,9667,6275,1
488717,23648178,9691,9629,1
489093,23657009,9691,1133,1
489144,23657361,9691,9685,1
491671,23741178,9759,5344,1
491722,23745602,9759,8689,1
493123,23812507,9775,6005,1
494824,23867878,9795,9398,1
495825,23905864,9835,9809,1
496076,23914381,9841,9797,1
496802,23943095,9852,8918,1
498103,23979482,9842,8000,1
498679,24005755,9871,9590,1
500980,24132616,9920,4009,1
502881,24238648,9852,1149,1
505207,24320950,9987,9573,1
505208,24320950,9987,7155,1
505334,24329496,9972,9358,1
506310,24365790,10013,4030,1
506311,24365790,10013,6487,1
508012,24431842,10049,9398,1
508413,24436709,10055,10005,1
508739,24443284,10005,10055,1
510390,24482360,10078,9068,1
511866,24505733,10088,2597,1
513417,24520377,10088,9016,1
513418,24520377,10088,3685,1
513419,24520377,10088,3713,1
514720,24532355,10086,30,1
514746,24532446,10086,40,1
514772,24532981,10117,242,1
518398,24560653,10137,10079,1
522676,24614262,10155,9330,1
526352,24652908,10162,8000,1
526353,24652908,10162,9842,1
527254,24658873,10169,9685,1
533130,24744505,10191,5617,1
535831,24782745,10213,8485,1
539957,24826442,10230,2597,1
542008,24846601,10238,10030,1
542934,24854515,10180,9735,1
546285,24931098,9735,2356,1
547886,24957619,10121,2746,1
548137,24963747,10295,9885,1
548163,24964512,10289,9137,1
548164,24964555,10289,9358,1
549065,25024526,10316,3628,1
549066,25024526,10316,8106,1
549067,25024526,10316,6740,1
550493,25077588,10337,5782,1
550794,25085462,10343,3931,1
551145,25092200,10347,6890,1
551421,25102500,10355,7902,1
553347,25169635,10377,2910,1
554848,25204672,10425,8807,1
556099,25234195,10450,10121,1
556850,25279168,10463,8130,1
565551,25532459,10539,7959,1
568302,25549645,8738,10604,1
568303,25549765,10604,8738,1
568529,25550954,10608,3458,1
569905,25561423,10619,10594,1
570006,25563005,9299,277,1
571982,25578929,10631,10363,1
573833,25619387,73,1676,1
576234,25656538,10669,7815,1
577160,25679758,10687,534,1
581836,25773803,10727,5782,1
582488,25793003,7815,10363,1
589789,26053949,10838,8243,1
590190,26059584,10856,6304,1
594018,26197600,10926,5206,1
594369,26207135,10928,10613,1
596723,26304193,10964,2230,1
596974,26312442,10953,6127,1
597275,26320354,10964,10789,1
597776,26327546,10981,9220,1
598127,26339242,10977,5081,1
598853,26362038,2230,10964,1
599604,26386725,11019,10387,1
599830,26401586,11033,2335,1
600456,26422455,11049,213,1
600832,26433223,11000,6731,1
602058,26494099,11009,10510,1
603834,26576505,11079,11113,1
605210,26618344,11141,11123,1
605411,26629421,11145,534,1
605412,26629421,11145,3400,1
606663,26684362,11165,8662,1
607589,26726288,11178,8661,1
608391,26756215,11186,2432,1
608842,26776658,11210,9664,1
610218,26833471,11232,6350,1
610219,26833471,11232,1637,1
610220,26833471,11232,6127,1
610221,26833471,11232,10953,1
610322,26841778,11220,173,1
611398,26889431,11259,11256,1
612274,26915884,11270,8300,1
614200,26996436,206,539,1
616126,27093267,11328,11079,1
616127,27093267,11328,11113,1
621328,27206231,11351,11315,1
626704,27279217,11277,4445,1
629780,27292680,11375,11009,1
631306,27305007,11381,4713,1
636657,27378406,11411,3115,1
636758,27381827,11412,11381,1
637384,27391629,11413,8738,1
638585,27417599,11418,9739,1
640787,27446239,11433,11420,1
641013,27448927,11436,6314,1
641039,27449044,6314,11436,1
643290,27486782,11458,10947,1
646416,27532012,11370,11448,1
648842,27580942,11459,3466,1
650193,27612518,11500,9358,1
652144,27663786,11543,2547,1
655545,27761033,11582,11548,1
656121,27777628,11590,3559,1
656747,27787496,11595,11182,1
658798,27816100,11609,6652,1
662224,27888741,9693,2379,1
663025,27919065,11650,11102,1
664051,27951092,11662,10347,1
665177,27980456,11659,7467,1
665328,27988267,11687,6481,1
665929,28010497,11680,577,1
666405,28027586,11691,9671,1
666506,28029612,11703,11182,1
667132,28040170,11703,11595,1
667208,28040571,11713,11628,1
668259,28052028,11722,10407,1
668535,28061871,11609,22,1
670586,28107120,11746,8071,1
670587,28107120,11746,3730,1
670988,28114259,11749,11414,1
675664,28193262,11769,22,1
684491,28326339,11833,2691,1
684492,28326572,11836,3650,1
687118,28398368,11609,2356,1
694594,28560695,11899,5502,1
694595,28560695,11899,11372,1
694771,28563537,11899,3006,1
694972,28570032,11628,11713,1
695098,28574279,11359,11436,1
700150,28681530,11959,1576,1
701351,28718712,11960,11717,1
701377,28719143,11971,9605,1
703428,28763993,11980,11887,1
703954,28785400,12021,1562,1
704805,28811599,12028,73,1
704806,28811643,12029,11892,1
704857,28811723,11892,12029,1
705158,28818915,12026,8000,1
706634,28861735,12053,11887,1
707560,28901501,12067,11887,1
708412,28930589,12080,4454,1
708563,28934168,12054,9131,1
710264,28996067,11450,8696,1
712115,29055967,12118,11887,1
716366,29175515,10236,10356,1
719792,29274894,12231,12151,1
719868,29276596,12225,2492,1
721969,29342790,12262,11351,1
721995,29343252,12283,5542,1
721996,29343252,12283,1,1
722172,29347926,12258,10981,1
725023,29435217,12305,12164,1
725399,29444556,12321,11609,1
725575,29450388,7351,2272,1
728451,29573096,12353,10251,1
729577,29613038,12365,11812,1
732555,29701167,12410,9131,1
733306,29709622,12421,4689,1
734057,29744241,12425,6599,1
734058,29744241,12425,10387,1
734134,29746006,12415,3539,1
737610,29813562,12180,12134,1
738436,29832936,12461,31,1
738437,29832936,12461,9557,1
739413,29845065,12466,7211,1
740189,29854163,12469,7527,1
743665,29906175,12498,1207,1
744591,29920735,12495,9342,1
748943,29972978,12512,12521,1
749044,29975025,12521,1622,1
751270,30012034,10540,1475,1
753046,30038444,12549,10975,1
758823,30142912,12582,12498,1
761924,30208110,12590,9535,1
762500,30218149,12597,3589,1
765701,30277839,12612,5347,1
766227,30283833,12611,2948,1
769130,30322325,12643,575,1
769881,30337568,12641,577,1
773132,30396697,12665,6309,1
776033,30454416,12700,2476,1
776084,30455052,12702,9947,1
777610,30471325,12710,8358,1
777636,30471530,12710,11917,1
777637,30471530,12710,8187,1
780588,30521671,12753,9503,1
782214,30549099,12763,213,1
784515,30596835,12790,12587,1
784516,30596835,12790,12453,1
784542,30596883,12587,12453,1
789768,30707863,12816,11149,1
790469,30733865,12768,12814,1
791495,30752778,5604,12748,1
791996,30753344,12854,10079,1
793322,30802073,12826,12864,1
797424,30868784,12881,12495,1
798625,30885159,12885,12712,1
799851,30902603,12884,9807,1
800177,30906877,12900,6181,1
800478,30908208,12902,12222,1
801379,30917974,12913,11650,1
802055,30926668,12913,4211,1
809807,31057016,12958,12410,1
811258,31081738,12993,11209,1
811784,31089547,7185,12993,1
811785,31089547,7185,11209,1
813236,31117971,13015,13011,1
813962,31132030,13023,7853,1
814563,31141908,13023,13022,1
814764,31145977,12962,12955,1
817115,31189618,12140,4356,1
818916,31234022,13089,3967,1
819067,31236906,13091,12993,1
820368,31257864,13112,12797,1
824369,31361274,13142,13056,1
829471,31476770,13159,2002,1
830647,31501745,13194,3947,1
831348,31510796,13204,11368,1
831399,31511922,13204,5747,1
831850,31523375,13206,6358,1
832576,31533654,13220,12960,1
832578,31534554,12960,13220,1
833679,31561514,13196,13166,1
834080,31570868,13199,4884,1
834156,31573978,13241,11209,1
834932,31588461,13215,12797,1
834933,31588461,13215,13112,1
835184,31590639,9016,1475,1
835510,31595311,13252,13206,1
836661,31613764,13275,4220,1
836687,31614422,13260,170,1
838113,31667713,11797,13296,1
838164,31669153,13131,1475,1
838840,31683047,13301,12262,1
838891,31684676,13301,11315,1
838892,31684676,13301,11351,1
839118,31691550,13300,2245,1
839119,31691550,13300,534,1
839496,31697255,13314,13266,1
840747,31735198,13326,1047,1
841648,31754863,13335,10608,1
842149,31767179,13342,13054,1
842150,31767483,13335,10387,1
844701,31844872,13371,13314,1
846402,31871460,13389,322,1
851503,32063295,13442,2777,1
853105,32108083,13456,726,1
853531,32115044,13470,13352,1
853782,32119542,13474,13259,1
854208,32126589,13475,13433,1
854535,32132961,13471,13446,1
858386,32226636,13528,13306,1
858887,32245994,13496,3640,1
860738,32276626,13550,2691,1
860839,32279678,13550,13152,1
861015,32285826,13556,13259,1
861691,32294517,13532,9898,1
865867,32381476,13586,11018,1
868393,32427172,13612,8485,1
868394,32427172,13612,414,1
869320,32437108,13620,13550,1
871421,32459190,13623,3,1
875122,32530136,13638,13636,1
876123,32552701,13650,3294,1
876249,32554781,13655,2272,1
881401,32643558,13655,6652,1
881402,32643558,13655,3911,1
881403,32643558,13655,11609,1
881404,32643558,13655,2356,1
882255,32658358,13686,4551,1
882306,32659047,13687,631,1
887683,32723434,13211,13721,1
887684,32723780,13721,13211,1
888660,32733857,13729,10517,1
891561,32790916,13747,12888,1
896288,32861350,13757,10,1
896964,32869352,13797,12461,1
898090,32886221,13690,7200,1
898091,32886221,13690,9501,1
898417,32890021,13810,5750,1
900068,32914329,13784,13166,1
900319,32917738,13805,10382,1
900445,32920048,13805,13757,1
901346,32939360,13833,13757,1
901347,32939360,13833,13805,1
904848,32986802,13867,9801,1
905274,32991644,13869,7357,1
905325,32991728,13543,13518,1
906101,33009879,13853,13757,1
906102,33009879,13853,13805,1
906103,33009879,13853,13833,1
906579,33026827,13873,12495,1
912335,33127769,13935,11516,1
912736,33138754,13936,13902,1
913562,33155689,13939,12137,1
920192,33303829,13981,1444,1
921168,33315598,3689,9429,1
921169,33316169,13989,13636,1
921370,33321879,13983,2492,1
925372,33398939,13984,12873,1
925398,33399458,14034,10001,1
927999,33442724,14067,4551,1
931550,33500960,14095,726,1
932201,33510671,14108,7048,1
935202,33555345,14078,14088,1
935403,33556993,14140,7402,1
935529,33559691,14078,575,1
935805,33562214,14147,9477,1
936181,33569228,14088,14078,1
938432,33595810,14168,14158,1
941983,33665113,14177,423,1
942159,33667593,14187,12484,1
942560,33673824,13784,14088,1
946861,33764111,14226,1805,1
950037,33835614,14219,10001,1
954388,33919238,14280,2275,1
955289,33940773,14301,3194,1
957290,33978088,14270,7869,1
959366,34013501,14351,14237,1
963142,34077437,14392,2894,1
966719,34126233,14434,4834,1
967395,34143644,14437,14351,1
968496,34163686,14444,2356,1
969297,34175544,14457,14269,1
971098,34201822,1321,14351,1
972349,34234034,14500,3549,1
974601,34280973,14516,11602,1
982881,34458323,14585,13314,1
982882,34458323,14585,2245,1
982933,34459484,14595,124,1
984209,34481455,13497,8662,1
985510,34508082,14620,14480,1
986361,34519968,14634,3559,1
986612,34524782,14402,14634,1
986763,34529731,14588,1385,1
988489,34561906,14664,14449,1
989865,34592501,14686,14643,1
992292,34637931,14616,14546,1
992293,34638008,14719,14721,1
994944,34693181,14752,9859,1
995295,34695780,14752,7308,1
995996,34708424,14762,14355,1
997097,34730360,14781,14691,1
999748,34786744,14571,6,1
1000474,34800993,14812,8505,1
1000750,34806202,14819,2410,1
1001626,34824298,14830,6225,1
1008428,34997066,14872,14842,1
1011279,35058583,14856,14219,1
1015005,35125843,14928,8237,1
1015006,35125843,14928,3549,1
1015132,35129651,14910,14898,1
1015358,35131980,14889,14916,1
1016459,35148050,14947,14088,1
1018935,35206318,14966,14500,1
1025486,35294394,15011,13382,1
1026462,35308056,15021,13902,1
1028013,35326380,575,14088,1
1030789,35366403,15052,9735,1
1030815,35367243,15052,22,1
1030816,35367243,15052,6652,1
1030817,35367243,15052,2272,1
1033743,35405942,15076,124,1
1036469,35455359,15102,14088,1
1036995,35460734,15100,14072,1
1037471,35470133,13739,13548,1
1037547,35473482,15021,8019,1
1037623,35475213,15113,15021,1
1043524,35564661,15154,15076,1
1044750,35586010,15164,13977,1
1049477,35668318,8447,15160,1
1051903,35710268,15202,15141,1
1051929,35710378,15141,15202,1
1053330,35728473,15207,13197,1
1053656,35730964,15208,12546,1
1055432,35751742,15224,961,1
1056008,35760111,15224,14226,1
1060284,35839981,15076,10001,1
1060735,35847625,15266,12251,1
1060736,35847984,12251,9071,1
1060837,35850030,13952,13853,1
1062038,35880237,12251,15266,1
1063764,35910772,15285,15281,1
1065790,35937124,15278,7208,1
1065791,35937124,15278,3539,1
1065792,35937124,15278,12415,1
1066793,35955643,15283,5750,1
1069044,35990829,15323,15197,1
1069270,35993002,15326,13909,1
1069296,35994000,15329,1844,1
1069422,35996248,15333,15285,1
1072198,36050489,15338,97,1
1073099,36070239,15361,11887,1
1074475,36089151,15368,1324,1
1080551,36188639,13329,2121,1
1083852,36260299,15427,15211,1
1093231,36425202,15502,2748,1
1093782,36433459,15510,10234,1
1096633,36493197,15526,14088,1
1097084,36501920,15530,6498,1
1098935,36528551,15552,14500,1
1100286,36548651,15567,11381,1
1100287,36548651,15567,8844,1
1100288,36548651,15567,11609,1
1101464,36568405,15567,4756,1
1104065,36605284,15392,13314,1
1104266,36607365,15581,11659,1
1104492,36609169,15597,7975,1
1104718,36614934,15606,15597,1
1105119,36621950,15584,9718,1
1107345,36659721,15635,8148,1
1107396,36660903,15635,15287,1
1108297,36669133,15514,726,1
1108423,36671438,15621,577,1
1109425,36685807,15651,7975,1
1109576,36687850,15649,15598,1
1109852,36690659,15651,15322,1
1109853,36690659,15651,15501,1
1110079,36693042,15662,15021,1
1110855,36705841,15670,138,1
1110856,36705841,15670,75,1
1113057,36754026,15651,13314,1
1116633,36835579,15710,7308,1
1116984,36845264,15701,15716,1
1117260,36851779,15711,7004,1
1121761,36933701,15740,11659,1
1121937,36937890,15713,15104,1
