Id,Reputation,CreationDate,Views,UpVotes,DownVotes
184,101,97754,3,3,0
186,101,99653,1,1,0
187,446,100031,69,6,0
188,211,100157,19,2,0
189,205,102422,17,0,0
190,1166,103254,146,482,24
191,313,104225,16,8,0
193,101,105778,0,1,0
194,38,106227,7,4,0
195,101,106777,7,0,0
196,6140,107842,649,497,114
197,138,107886,5,21,1
198,908,109602,42,69,0
199,1815,109878,188,149,3
200,128,111392,24,9,0
202,101,111882,3,0,0
203,101,112091,1,1,0
204,101,112545,0,4,0
206,101,115539,0,2,0
207,101,115769,4,0,0
210,337,116840,47,32,1
211,586,117409,11,0,0
212,101,117742,1,11,1
213,63,118019,9,1,0
214,266,119900,31,29,0
215,2496,120073,384,5,0
216,31,120169,4,0,0
217,522,120689,111,16,1
218,121,121431,9,12,0
219,184,123441,119,2,0
220,248,126058,34,11,0
221,615,127148,77,95,0
222,101,131490,3,3,0
223,4022,132774,1471,345,19
225,101,133753,6,0,0
226,1293,134696,266,55,0
227,226,135624,4,71,0
228,121,135747,4,9,0
229,629,136906,64,65,0
230,1233,136911,106,170,2
232,101,137705,0,4,0
233,101,139251,3,4,0
235,101,139740,5,0,0
236,221,140117,9,8,0
239,101,142936,66,3,0
240,281,143577,31,8,0
241,101,144504,0,0,0
246,101,152565,9,0,1
247,898,155126,104,82,3
248,101,155458,0,1,0
250,131,177395,6,9,0
251,7931,185328,984,819,0
252,315,188471,40,8,0
253,5309,201230,1147,1160,5
254,101,210349,0,3,0
255,195,210794,11,32,0
256,171,216553,6,2,0
257,121,219002,2,2,0
258,101,225532,1,9,0
259,138,244273,6,3,0
260,526,246080,24,2,0
261,442,250704,84,30,2
263,101,275886,4,0,0
264,4701,280596,839,1408,55
266,1272,295275,335,108,1
267,91,298314,17,4,0
268,101,299662,4,1,0
270,229,312930,25,4,0
273,1384,352483,87,17,0
275,101,495859,0,0,0
276,201,505874,17,10,0
277,131,575196,22,1,0
278,101,663259,7,0,0
279,6176,666129,374,578,8
280,101,669010,1,27,0
281,101,673737,1,0,0
282,101,673772,7,2,0
283,118,673865,5,23,0
284,190,673885,10,191,0
285,223,673964,6,3,0
287,847,674195,73,19,0
288,86,674262,3,9,0
290,129,674346,127,8,4
291,251,674376,17,51,0
292,138,674382,13,15,4
293,101,674418,0,0,0
297,103,674687,2,17,0
298,111,674755,6,2,0
300,524,674843,44,223,0
301,155,674917,6,6,1
302,246,674971,36,17,1
303,238,675019,140,1,1
305,118,675203,24,4,0
307,4829,675338,1088,692,3
308,101,675460,3,0,0
310,101,675789,0,0,0
311,101,675880,1,0,0
314,101,675968,1,0,0
315,611,675971,49,2,0
316,101,676004,0,0,0
317,81,676387,24,0,0
319,1994,676803,523,62,0
320,101,676912,0,3,0
322,101,677057,0,0,0
325,101,677481,1,0,0
326,101,677542,5,5,0
327,303,677675,36,0,0
329,101,678020,1,0,0
330,101,678023,1,0,0
333,1233,678590,104,75,4
334,5134,678599,842,58,9
335,101,678609,0,4,0
338,126,679712,2,0,0
339,3039,680281,363,125,0
340,101,680382,4,0,0
344,101,681157,0,0,0
346,101,681469,0,4,0
347,101,681585,0,0,0
350,101,682261,1,2,0
351,101,682607,8,1,0
352,793,683171,99,236,2
353,101,683243,6,2,0
354,101,683257,1,3,0
357,101,684284,0,3,0
358,51,684528,4,12,0
360,101,685520,1,0,0
362,101,686029,0,0,1
364,5442,686284,671,115,2
365,101,686705,1,2,0
366,21,687479,14,0,0
367,111,690496,0,0,0
368,369,691791,18,5,0
369,29,692462,1,0,0
371,101,692822,1,0,0
373,101,693913,1,13,0
374,101,696204,1,0,0
375,529,696760,46,9,0
377,101,697312,2,0,0
378,316,697345,6,2,0
380,101,697573,2,4,0
381,101,697769,0,1,0
382,101,697945,0,0,0
383,101,698279,1,3,0
384,101,698430,0,0,0
385,101,698618,0,0,0
386,891,698886,185,55,0
389,101,700084,0,7,0
390,101,700379,0,0,0
391,101,700633,2,1,0
392,101,701118,2,1,0
393,101,701177,1,0,0
394,33,701337,5,0,0
395,101,701766,0,7,0
396,101,702125,2,0,0
397,101,702334,7,2,0
398,101,702523,4,1,0
399,101,703191,0,0,0
400,213,703501,14,0,0
401,6906,704103,1070,394,6
402,61,705321,2,0,0
406,101,707649,2,0,0
407,101,708682,2,0,0
408,101,711479,1,0,0
410,123,715756,5,21,0
411,101,716372,1,2,0
412,101,716574,1,8,0
413,101,716999,0,26,0
414,106,717084,4,1,0
417,101,718087,1,1,0
419,379,719302,25,7,0
420,101,719487,4,244,0
422,111,720344,1,7,0
424,101,720919,1,0,0
426,101,721671,1,0,0
427,38,721996,10,17,0
428,126,722157,1,0,0
431,71,722577,28,1,0
432,101,723217,1,0,0
434,111,723951,7,54,0
435,101,724148,1,0,0
436,101,725040,0,0,0
438,2133,725885,272,28,1
439,2031,726434,268,152,1
440,101,726845,0,0,0
441,101,727016,0,0,0
442,6431,727297,973,857,21
443,11,730496,1,0,0
444,101,731296,0,0,0
445,152,731648,10,32,0
446,118,732488,8,12,0
447,1422,732680,173,20,0
449,12813,735034,1089,1607,57
452,111,737349,1,3,0
453,131,737399,1,0,0
455,378,737607,24,26,0
456,101,737809,1,0,0
457,101,737886,0,0,0
458,101,737910,0,0,0
460,148,738567,5,4,0
461,101,738925,2,13,0
462,101,739055,0,0,0
463,141,740371,11,11,0
465,101,740642,1,0,0
467,101,741840,3,3,0
468,141,743677,1,2,0
469,101,744711,0,1,0
472,101,745260,0,0,0
474,22,745691,12,0,0
475,101,746026,1,0,0
476,208,746389,7,0,1
478,300,746463,29,13,0
480,113,746972,4,0,0
481,31,747470,4,0,0
482,61,747588,9,0,0
483,101,747598,1,0,0
485,2908,747922,265,444,11
486,101,749081,0,46,0
488,109,750001,7,2,0
490,1,750359,1,0,0
491,46,751967,3,0,0
492,1,753030,6,0,0
493,909,753301,96,87,4
494,11,753357,9,0,0
495,2092,753759,272,32,4
498,19,755184,1,0,0
500,104,756077,2,0,0
501,300,756746,20,9,0
503,108,760191,8,1,0
504,101,760281,3,1,0
506,223,762536,29,14,0
509,139,764834,90,24,2
510,101,766879,1,0,0
511,1796,767033,516,33,4
512,101,767342,1,0,0
513,16,770434,5,0,0
516,157,773170,11,3,0
517,101,773179,0,0,0
520,268,777192,42,9,0
521,2133,781007,205,65,0
522,101,781440,1,0,0
523,326,782176,32,10,0
524,101,783175,1,0,0
526,1,787489,1,0,0
527,125,791431,6,61,0
528,148,792932,22,1,0
529,118,794144,40,61,0
530,599,798931,77,2,0
531,19,800254,7,0,0
536,101,804652,1,0,0
539,279,811852,31,14,0
541,141,812722,9,0,0
542,101,814066,1,0,0
543,101,819540,0,0,0
546,138,823343,11,1,0
547,101,823897,10,0,0
549,286,828834,39,5,0
553,101,831055,4,0,0
555,101,832420,2,0,0
556,113,833017,22,33,0
557,1273,834899,142,58,0
558,101,837547,1,0,0
559,485,838875,44,9,0
560,104,841966,6,0,0
561,2002,842871,186,155,11
562,173,842997,21,6,0
563,101,845530,0,0,0
564,101,847363,0,0,0
565,125,847751,32,22,0
566,11,850081,37,17,0
569,307,855727,46,43,0
572,161,860192,19,2,0
573,365,863760,40,260,0
575,101,866627,3,0,0
577,101,870870,0,0,0
578,65,872464,14,7,0
582,2400,887898,293,692,23
583,101,893613,0,0,0
586,101,899234,0,1,0
588,1034,902185,185,38,0
589,58,904491,11,4,0
590,101,906422,1,0,0
591,101,908158,1,0,0
593,108,909898,0,3,0
594,101,910153,1,0,0
595,146,911978,25,57,0
596,101,912027,2,0,0
597,232,914149,12,178,2
600,165,915268,4,33,0
601,13478,916152,1286,283,17
603,10647,920289,1225,683,49
605,108,927020,3,4,0
606,101,928531,0,0,0
608,138,931530,18,4,0
609,691,931637,113,44,1
612,1,939111,1,0,0
613,101,940065,0,0,0
614,305,942698,34,7,0
615,379,950273,51,163,49
616,26,952817,6,0,0
617,101,970579,0,9,0
618,101,982223,2,0,0
621,101,1004453,1,22,0
624,121,1014653,6,0,0
626,101,1026967,3,0,0
629,133,1050163,9,0,0
631,101,1077776,1,0,0
632,202,1092540,38,69,0
633,101,1094666,2,0,0
634,426,1099976,47,8,0
635,146,1104207,3,1,0
636,1,1106725,0,0,0
637,118,1108385,6,25,0
638,241,1114439,13,2,0
640,101,1156277,1,0,0
641,1,1162918,0,0,0
642,23,1165809,0,0,0
643,251,1171164,31,13,0
644,28,1186566,16,2,0
646,111,1192593,5,26,1
647,141,1204250,19,14,0
648,101,1218697,0,0,0
650,230,1243670,42,45,0
652,158,1260700,6,0,0
653,1,1263692,4,0,0
656,2320,1268278,203,1273,7
660,286,1271159,37,16,3
665,58,1283221,3,5,0
666,1855,1283472,105,71,0
667,406,1283769,56,11,0
668,101,1284837,12,2,0
669,101,1287616,1,0,0
671,101,1289663,4,9,0
672,111,1292037,8,1,0
676,101,1315708,9,0,0
677,101,1320051,0,2,0
679,336,1335348,15,0,0
681,101,1341725,0,4,0
682,101,1352797,1,0,0
683,101,1353587,1,0,0
684,186,1366257,16,8,0
685,1,1366766,0,0,0
686,44152,1366960,7357,2156,82
687,26,1367423,0,0,0
689,101,1369292,0,0,0
690,121,1372183,7,5,0
691,1,1375115,1,0,0
692,101,1376787,0,0,0
696,2282,1390241,182,136,18
697,176,1393573,18,57,2
698,113,1402042,2,2,0
700,101,1407706,0,0,0
701,101,1408496,0,0,0
702,424,1408734,37,34,2
703,101,1409453,0,0,0
704,577,1409780,64,51,0
705,121,1411270,1,3,0
706,101,1414204,0,0,0
707,101,1414244,57,10,0
708,101,1414652,0,1,0
710,101,1416276,0,0,0
711,101,1417655,0,0,0
713,6,1421455,3,0,0
714,101,1421539,0,0,0
715,101,1421793,0,0,0
716,1,1422176,4,0,0
717,101,1422272,0,0,0
718,101,1422378,1,0,0
719,101,1423734,0,0,0
720,101,1423977,0,0,0
721,121,1427114,3,7,0
722,113,1427478,1,1,0
723,101,1429036,0,0,0
724,101,1429482,1,0,0
725,101,1433004,0,0,0
726,185,1433523,9,24,0
727,101,1433675,1,0,0
728,101,1434851,0,0,0
729,136,1435619,10,1,0
732,151,1437055,9,1,0
733,101,1437411,2,0,0
734,101,1439513,8,1,0
735,101,1440176,0,4,0
736,101,1440388,1,0,0
737,93,1443096,3,1,0
738,131,1443116,8,6,0
739,106,1443398,9,2,0
740,305,1443593,92,41,2
741,262,1447453,20,6,0
742,101,1447771,0,0,0
743,235,1448509,13,26,0
744,101,1452250,1,0,0
745,101,1453474,1,0,0
746,101,1455079,0,2,0
747,143,1457336,4,3,0
748,101,1457988,0,0,0
749,292,1458050,35,6,0
751,101,1461285,0,0,0
753,101,1470219,34,3,0
754,101,1472916,0,0,0
755,101,1476233,0,0,0
760,168,1504994,13,13,0
762,48,1511964,7,1,0
764,101,1515927,0,1,0
765,86,1517666,11,0,0
767,66,1524169,9,1,0
768,101,1525012,7,1,0
770,139,1531685,13,61,0
771,101,1532620,1,0,0
772,101,1533307,1,0,0
774,101,1538053,0,1,0
775,436,1538658,24,5,0
776,1895,1539644,312,225,1
777,101,1539685,0,0,0
778,311,1542874,36,49,0
779,103,1545687,0,1,1
780,101,1547200,0,1,0
781,566,1556965,78,9,1
782,141,1563755,0,5,0
785,101,1572431,1,0,0
786,101,1580585,1,0,0
787,111,1580913,3,2,0
789,151,1582989,11,2,0
791,123,1605363,8,20,0
793,101,1606945,0,0,0
795,5606,1623234,967,1547,8
797,101,1630947,1,0,0
798,101,1635553,0,1,0
799,103,1654852,7,0,0
800,244,1663175,18,15,0
801,111,1665455,6,3,0
802,101,1665619,2,0,0
803,118,1666309,13,0,0
805,65272,1672807,5680,7035,143
806,111,1683710,3,0,0
807,123,1687085,5,14,0
808,101,1688456,8,27,0
809,116,1689915,6,0,0
812,628,1696822,98,215,2
813,101,1700053,0,2,0
814,101,1708031,0,0,0
816,101,1726803,0,0,0
819,101,1751018,0,0,0
821,101,1781538,1,0,0
822,101,1786286,0,0,0
823,101,1793375,1,0,0
825,138,1812484,7,1,0
826,101,1815866,0,0,0
827,262,1817423,22,6,0
828,101,1848183,0,0,0
829,101,1848249,0,0,0
830,830,1851307,174,148,0
831,101,1854899,1,0,0
833,21,1879111,0,0,0
834,136,1880181,45,8,0
835,176,1886422,12,36,0
836,101,1886940,2,0,0
838,101,1888127,0,6,0
839,101,1892917,1,0,0
840,259,1894482,63,19,1
842,101,1900516,5,24,0
844,101,1904824,1,0,0
845,597,1910498,46,22,0
846,101,1917097,3,0,0
847,591,1917185,67,15,0
850,193,1921222,9,10,0
851,1075,1924812,77,11,1
852,21,1930764,7,0,0
855,101,1971990,2,0,0
856,51,1975689,1,0,0
857,101,1980008,6,0,0
858,2834,1981716,434,333,24
861,130,2001874,12,2,0
862,531,2006070,90,2,0
865,101,2014180,1,0,0
866,1,2026158,3,0,0
867,11,2030520,1,0,0
869,131,2035483,3,1,0
870,257,2035758,13,7,0
871,101,2038040,2,3,0
872,128,2039492,5,5,0
873,451,2041351,27,0,0
876,123,2054264,8,4,0
877,101,2056643,8,1,0
878,101,2056891,4,0,0
879,101,2062829,0,2,0
880,88,2063535,7,0,0
881,1118,2063558,62,6,2
882,101,675925,6,5,0
884,101,2073355,3,0,0
887,18187,2101505,1660,230,4
888,315,2102919,21,8,0
890,155,2110864,66,23,0
891,101,2114917,14,0,0
892,2772,2118595,207,167,2
894,101,2130513,0,0,0
899,101,2145977,0,0,0
900,1054,2148533,87,221,0
901,101,2153715,2,11,0
902,101,2156091,0,0,0
903,128,2156490,14,4,0
906,101,2163918,2,0,0
909,171,2167726,4,3,0
911,101,2177116,0,0,0
912,101,2190315,0,0,0
913,262,2191561,27,3,0
914,159,2196831,16,7,0
919,87393,2215787,20932,11273,779
923,101,2224217,1,0,0
926,101,2226030,0,0,0
927,21,2226055,1,0,0
928,101,2226860,0,0,0
929,101,2232588,0,0,0
930,31170,2235047,5529,10523,214
931,101,2240513,1,0,0
932,101,2241025,0,0,0
933,118,2244386,0,7,0
934,101,2246760,0,0,0
935,101,2249346,0,0,0
937,115,2260551,1,2,0
938,171,2269279,15,7,0
939,131,2277752,0,0,0
940,101,2291864,1,0,0
941,101,2300108,0,0,0
942,151,2310706,4,0,0
944,126,2317042,6,2,0
945,123,2318190,9,19,0
948,101,2337976,0,1,0
952,14,2382400,2,0,0
954,101,2389109,2,0,0
955,101,2389653,0,0,0
956,218,2392410,14,47,1
957,135,2395537,35,1,0
959,326,2418028,19,1,0
960,101,2436722,0,0,0
961,620,2441783,73,86,3
962,43,2460802,13,1,0
963,101,2462306,0,0,0
966,1290,2474348,137,244,0
968,108,2482462,3,10,0
970,101,2485035,1,0,0
971,101,2487649,0,0,0
972,150,2489518,9,5,1
973,101,2498232,3,3,0
976,239,2529086,20,63,0
977,423,2538255,65,13,0
978,101,2540996,0,1,0
979,261,2548904,31,12,0
980,101,2561573,1,0,0
981,101,2567429,1,0,0
982,101,2569760,2,2,0
983,101,2572997,0,0,0
985,101,2601741,15,2,0
986,148,2621616,8,3,0
988,168,2640503,61,31,0
989,101,2643507,2,0,0
990,147,2644899,46,11,0
991,143,2652124,5,1,0
993,28,2680040,1,3,0
994,323,2681907,65,9,1
995,196,2687025,10,4,0
996,364,2695318,68,10,0
997,198,2695552,25,0,0
998,101,2701594,0,0,0
1000,101,2712184,2,1,0
1001,111,2719348,2,2,0
1004,136,2732480,6,2,0
1005,3679,2734269,870,325,0
1007,444,2736360,264,8,0
1010,101,2741496,1,0,0
1011,191,2748958,9,0,0
1013,96,2753530,18,0,0
1014,101,2754289,0,0,0
1015,101,2755200,1,0,0
1016,111,2763771,1,8,0
1017,101,2767907,2,13,0
1019,119,2784253,6,10,0
1021,167,2816803,4,29,0
1024,58,2826339,12,0,0
1025,136,2831438,4,0,0
1026,167,2833363,10,8,0
1027,156,2835390,2,4,0
1028,360,2839052,45,30,2
1029,28,2842943,2,0,0
1030,101,2867022,2,0,0
1032,101,2908914,4,2,0
1033,130,2928458,8,0,1
1034,26,2933330,4,0,0
1035,106,2933838,6,2,0
1036,8236,2938951,1305,11442,43
1040,101,2952429,2,0,0
1041,101,2952444,0,0,0
1043,55,2988421,37,2,0
1047,31,3001844,0,2,0
1048,468,3007337,135,28,0
1049,106,3008719,6,0,0
1050,478,3010873,53,39,2
1053,101,3024534,0,0,0
1054,131,3025873,5,0,0
1056,21,3053809,2,0,0
1059,101,3069711,0,7,0
1063,101,3082478,0,0,0
1064,101,3082803,0,1,0
1065,111,3082870,7,6,0
1066,101,3085820,10,0,0
1068,31,3090373,4,0,0
1069,101,3090573,0,0,0
1072,126,3107593,6,0,0
1073,101,3108133,3,0,0
1074,101,3120273,1,2,0
1075,213,3141615,28,26,1
1076,101,3166077,4,18,0
1077,444,3168931,222,50,0
1079,192,3179091,33,8,0
1080,1597,3213394,188,81,1
1082,106,3241177,11,5,0
1083,101,3244395,0,1,0
1084,276,3247869,45,42,1
1085,101,3255996,2,0,0
1087,101,3266806,1,0,0
1088,38,3271721,4,6,0
1090,93,3278085,16,0,0
1091,39,3311010,10,1,0
1092,101,3315691,1,0,0
1094,23,3317048,5,0,0
1098,305,3345555,48,69,0
1099,1,3346789,0,0,0
1100,101,3353313,1,0,0
1101,101,3360245,5,4,0
1102,329,3365225,55,15,0
1103,101,3369524,1,1,0
1104,100,3393718,0,10,1
1105,296,3405531,7,1,0
1106,2410,3439049,140,202,2
1107,506,3443523,87,35,1
1108,3555,3464806,386,347,1
1109,101,3468163,0,0,0
1110,101,3534534,1,0,0
1112,326,3549410,36,24,0
1113,101,3560338,1,0,0
1114,121,3594724,9,1,0
1115,101,3611810,0,0,0
1117,195,3624657,9,6,0
1118,935,3645818,278,88,2
1119,678,3677806,28,10,0
1120,113,3699447,5,1,0
1121,130,3713787,10,6,0
1122,1544,3717154,196,0,0
1123,101,3735400,0,0,0
1124,3000,3751647,456,140,7
1125,101,3756172,0,0,0
1126,299,3757406,30,9,2
1127,148,3770329,25,0,0
1130,101,3798905,1,0,0
1131,101,3800929,0,0,0
1133,3,3836795,2,0,0
1134,93,3837518,31,1,0
1135,116,3845135,4,0,0
1136,101,3851551,1,0,0
1137,173,3853335,4,0,0
1138,169,3861496,5,15,0
1141,148,3877278,11,2,0
1142,100,3877633,48,1,1
1144,246,3890587,95,30,0
1146,1086,3894288,189,73,6
1147,101,3908610,1,2,0
1148,66,3913622,82,4,0
1149,101,3919378,0,1,0
1150,585,3925135,56,25,0
1151,101,3925225,6,1,0
1152,101,3933306,1,0,0
1153,1,3936701,1,0,0
1154,386,3937318,137,252,3
1156,101,3963637,0,0,0
1157,138,3965166,39,10,0
1158,33,3966924,5,1,0
1160,101,3973021,0,0,0
1161,101,3973292,0,0,0
1162,101,3973332,1,0,0
1163,301,3973351,43,2,0
1164,101,3973979,3,2,0
1166,101,3974140,4,1,0
1167,16,3976288,5,0,0
1169,101,3977267,1,0,0
1170,101,3981205,0,1,0
1173,101,3983316,1,0,0
1178,101,3999624,0,0,0
1179,101,4005405,1,1,0
1180,101,4008040,0,1,0
1181,101,4016019,0,0,0
1182,101,4016716,2,2,0
1183,101,4016983,0,0,0
1185,16,4017970,10,0,0
1186,101,4019041,0,0,0
1187,101,4021601,2,0,0
1189,78,4024871,5,3,0
1190,101,4032953,6,2,0
1191,2768,4035630,93,260,1
1192,101,4078244,0,2,0
1194,103,4083564,0,2,0
1195,442,4093681,34,13,0
1197,108,4159370,13,0,0
1200,101,4204057,1,0,0
1201,111,4233164,10,1,0
1202,101,4237520,1,0,0
1204,151,4286718,3,0,0
1205,212,4291186,34,11,0
1208,148,4412750,6,2,0
1210,158,4420355,26,5,1
1211,101,4428459,0,0,0
1212,187,4442289,28,23,0
1215,339,4447992,40,18,0
1216,175,4448965,22,0,0
1219,353,4455088,54,13,2
1220,68,4455861,7,17,0
1224,437,4468097,39,5,0
1225,111,4470458,3,2,0
1226,101,4476138,1,0,0
1227,170,4477670,13,1,0
1229,526,4492494,34,11,0
1234,101,4526953,0,0,0
1238,101,4584415,0,0,0
1239,101,4586308,0,0,0
1242,101,4626992,1,0,0
1244,101,4630681,0,0,0
1246,101,4670914,7,1,0
1247,158,4675368,8,7,0
1248,173,4713155,25,2,0
1249,101,4729564,0,0,0
1250,559,4734226,47,17,0
1251,55,4748928,31,8,0
1252,101,4765578,1,0,0
1253,51,4769930,2,2,0
1255,101,4773286,1,1,0
1256,111,4802265,3,2,0
1259,128,4806149,14,4,0
1260,153,4809140,1,0,0
1261,188,4812280,22,3,0
1262,101,4820219,0,0,0
1265,451,4863780,110,19,0
1266,186,4880847,12,0,0
1267,121,4888324,10,2,0
1268,101,4900529,7,1,0
1269,101,4911442,1,4,0
1270,639,4913595,83,42,0
1271,101,4923255,1,0,0
1272,21,4925535,1,0,0
1273,101,4927902,33,0,0
1276,101,4987820,0,1,0
1277,1,4997263,1,0,0
1279,26,5013910,19,0,0
1280,101,5021290,1,0,0
1282,101,5041320,0,0,0
1283,31,5045825,7,0,0
1284,21,5049849,2,0,0
1287,133,5062164,6,1,0
1290,38,5071239,30,2,0
1291,303,5080346,214,15,0
1292,101,5083771,2,0,0
1293,101,5090220,0,0,0
1294,101,5103002,0,0,0
1295,101,5105306,0,0,0
1296,101,5105432,0,0,0
1297,101,5105552,0,0,0
1298,101,5106337,0,0,0
1299,101,5108085,2,0,0
1300,101,5109966,0,1,0
1302,101,5111233,0,0,0
1303,11,5112197,2,0,0
1305,101,5114169,1,0,0
1306,101,5119475,0,0,0
1307,4128,5122859,5025,600,10
1308,101,5122913,1,0,0
1309,101,5123605,0,0,0
1311,101,5124436,1,0,0
1312,101,5124986,0,4,0
1313,141,5126229,3,1,0
1314,76,5128198,6,3,0
1315,101,5130605,3,0,0
1316,178,5139981,18,2,0
1318,101,5144632,1,1,0
1319,101,5146073,2,1,0
1320,330,5154224,67,73,0
1321,101,5154393,1,5,0
1322,101,5155255,0,0,0
1323,101,5158468,1,14,0
1324,36,5164892,3,0,0
1327,179,5172751,26,147,0
1328,101,5174583,0,0,0
1329,1665,5175177,335,91,5
1330,106,5176936,2,0,0
1331,101,5177995,0,0,0
1334,81,5184918,6,0,0
1336,31,5200065,1,0,0
1342,106,5243503,7,0,0
1343,101,5244662,58,0,0
1344,101,5265816,3,3,0
1345,101,5268024,2,2,0
1346,101,5269367,0,0,0
1347,1775,5277521,126,58,0
1349,173,5300212,36,23,0
1351,572,5308798,171,185,0
1352,5859,5309708,783,595,7
1354,106,5327137,2,0,0
1355,286,5328188,26,23,0
1356,745,82756,129,115,1
1357,101,5336313,1,3,0
1358,1,5342021,0,0,0
1364,163,5406589,9,0,0
1366,31,5420878,3,0,0
1367,101,5423682,0,0,0
1368,101,5428282,10,2,0
1371,202,5450160,74,15,0
1375,101,5480873,0,23,0
1376,101,5491447,6,0,0
1377,101,5494671,2,1,0
1378,327,5503583,29,35,0
1380,101,5525003,1,34,0
1381,3533,5525656,299,910,34
1384,101,5563095,0,1,0
1387,126,5592048,8,0,0
1389,262,5595133,41,5,0
1390,10476,5597914,1165,602,34
1392,110,5612988,22,6,0
1393,182,5620030,72,9,5
1395,172,5622283,34,1,0
1396,46,5648787,1,0,0
1397,258,5659022,17,2,0
1398,101,5667847,0,0,0
1399,101,5669164,1,1,0
1400,101,5673925,0,0,0
1402,101,5695874,0,0,0
1403,101,5712030,14,0,0
1409,101,5780409,0,0,0
1410,16,5798496,1,0,0
1411,165,5818172,5,3,0
1413,101,5834097,0,2,0
1414,139,5844431,2,0,0
1416,101,5849425,0,0,0
1417,51,5855664,3,1,0
1419,101,5933466,0,1,0
1421,208,5988505,10,4,0
1422,270,5988986,20,8,0
1423,101,6006470,1,0,0
