Id,PostTypeId,CreationDate,Score,ViewCount,OwnerUserId,AnswerCount,CommentCount,FavoriteCount,LastEditorUserId
288,1,131374,5,1093.0,220.0,3.0,0,1.0,
289,2,131561,4,,80.0,,0,,
290,1,131610,6,811.0,189.0,7.0,1,2.0,919.0
291,2,131743,7,,211.0,,0,,
292,2,131918,2,,56.0,,0,,
293,2,132182,4,,211.0,,1,,
294,2,132459,25,,211.0,,0,,
295,2,132775,8,,62.0,,0,,
296,2,132868,10,,127.0,,0,,
297,2,133722,5,,56.0,,0,,
298,1,133910,55,67592.0,125.0,6.0,4,55.0,919.0
299,2,134189,8,,5.0,,0,,5.0
300,2,134371,4,,56.0,,0,,
301,2,134560,6,,8.0,,7,,
302,2,137052,1,,196.0,,2,,
303,2,137322,2,,,,2,,9007.0
304,2,137630,0,,196.0,,3,,
305,1,137981,27,2939.0,196.0,6.0,0,16.0,159.0
306,2,138097,8,,5.0,,2,,
307,2,138210,13,,229.0,,3,,
308,2,139087,1,,22.0,,0,,
309,2,139232,2,,88.0,,1,,
310,2,139293,1,,,,5,,
311,2,139651,7,,89.0,,1,,
312,1,140620,4,118.0,,1.0,0,,
313,2,141015,3,,226.0,,2,,226.0
314,2,141034,11,,5.0,,1,,
315,2,141357,5,,36.0,,0,,
316,2,141638,7,,36.0,,1,,36.0
317,2,141661,18,,56.0,,0,,
318,2,141833,4,,,,0,,
319,2,142422,15,,71.0,,2,,
320,2,143224,14,,61.0,,0,,
321,1,144085,10,1950.0,220.0,1.0,4,4.0,220.0
322,1,144220,11,1449.0,3807.0,6.0,0,6.0,
323,2,144616,22,,3807.0,,2,,
324,2,144728,9,,3807.0,,0,,
326,2,144783,12,,3807.0,,1,,
327,2,145191,1,,3807.0,,0,,
328,1,145628,5,2388.0,75.0,9.0,3,15.0,88.0
329,2,145886,11,,5.0,,0,,5.0
331,2,146622,5,,61.0,,1,,
333,2,148641,3,,74.0,,3,,74.0
337,2,148841,1,,88.0,,4,,88.0
338,2,148921,7,,89.0,,2,,8.0
339,2,149509,1,,218.0,,6,,
340,2,150060,5,,74.0,,0,,
341,1,151949,2,435.0,88.0,2.0,0,,190.0
342,2,152024,3,,139.0,,0,,
343,2,152177,3,,88.0,,0,,
344,2,152245,3,,88.0,,2,,
345,2,155330,1,,247.0,,0,,
346,1,156076,26,4873.0,247.0,10.0,2,9.0,8.0
347,2,157857,2,,15.0,,0,,
348,2,158053,-4,,24.0,,2,,24.0
349,2,158373,8,,54.0,,5,,54.0
350,2,159146,1,,178.0,,0,,
351,2,162335,4,,16.0,,0,,
352,2,163125,1,,8.0,,1,,8.0
353,2,166314,11,,61.0,,1,,
354,1,167186,8,676.0,3807.0,4.0,0,4.0,930.0
355,2,167262,1,,158.0,,0,,
356,2,167505,2,,8.0,,0,,
357,2,169668,5,,3807.0,,5,,3807.0
358,2,170465,6,,88.0,,4,,88.0
359,1,170929,9,425.0,90.0,2.0,1,4.0,
360,2,172593,4,,88.0,,2,,
361,2,173349,13,,170.0,,1,,
362,1,174275,14,25597.0,196.0,2.0,0,7.0,805.0
363,1,175448,52,5188.0,74.0,19.0,2,65.0,
365,2,176648,4,,226.0,,0,,
366,2,177780,1,,226.0,,0,,
367,2,178513,17,,90.0,,1,,
368,2,183660,2,,,,2,,
369,1,186437,6,485.0,191.0,4.0,0,6.0,88.0
370,2,186535,27,,159.0,,2,,
371,2,188340,15,,34.0,,2,,
372,1,188767,2,754.0,252.0,2.0,5,5.0,509.0
373,1,189050,24,1439.0,252.0,12.0,2,12.0,22468.0
374,1,189162,6,273.0,252.0,1.0,0,1.0,88.0
375,1,189285,7,437.0,252.0,0.0,1,0.0,190.0
376,2,190130,9,,61.0,,0,,
377,2,193543,7,,173.0,,0,,
378,2,194065,11,,68.0,,0,,
379,2,194983,5,,190.0,,0,,190.0
380,2,195336,3,,88.0,,0,,
381,2,195771,6,,223.0,,0,,
382,2,196103,3,,190.0,,0,,
383,2,196123,3,,251.0,,0,,
384,2,196416,1,,190.0,,0,,
385,2,196778,4,,190.0,,1,,
386,2,197171,10,,223.0,,5,,223.0
387,2,198266,36,,69.0,,0,,
388,2,198954,4,,251.0,,1,,
389,2,201094,12,,199.0,,0,,
390,2,201714,4,,74.0,,3,,74.0
392,2,202776,5,,251.0,,0,,
393,2,205331,26,,223.0,,2,,439.0
394,2,208420,0,,210.0,,0,,17230.0
395,1,209605,4,174.0,210.0,2.0,1,1.0,556.0
396,1,212444,31,2694.0,,15.0,0,20.0,9007.0
397,2,213107,5,,8.0,,0,,8.0
398,2,213415,14,,5.0,,1,,
399,2,213536,22,,190.0,,3,,
400,2,213645,10,,210.0,,3,,3874.0
401,2,217341,2,,256.0,,0,,5505.0
402,2,217843,3,,226.0,,2,,
403,2,218023,1,,256.0,,0,,
404,2,218251,6,,46.0,,1,,
405,2,218331,1,,190.0,,1,,
406,2,218580,11,,256.0,,0,,
407,2,219540,1,,256.0,,0,,
408,2,219699,8,,56.0,,0,,
409,1,220293,2,232.0,219.0,2.0,0,,219.0
410,2,220853,2,,56.0,,2,,
411,1,221946,31,3293.0,89.0,6.0,8,9.0,29617.0
412,2,222002,4,,8.0,,0,,
413,2,222495,5,,223.0,,0,,
414,1,222608,20,5291.0,89.0,6.0,0,19.0,509.0
415,2,222793,4,,223.0,,1,,
416,2,223203,14,,215.0,,1,,
417,2,223306,6,,251.0,,0,,
418,1,225042,13,1382.0,77.0,3.0,1,5.0,88.0
419,2,225811,4,,215.0,,0,,
420,2,226506,8,,89.0,,1,,
421,1,226881,52,11458.0,219.0,28.0,4,56.0,2669.0
422,2,227351,0,,247.0,,1,,
423,1,227601,156,64481.0,5.0,56.0,7,135.0,509.0
424,2,228093,109,,88.0,,3,,
425,2,228233,88,,13.0,,0,,13.0
427,2,228791,14,,215.0,,0,,
428,2,228945,3,,210.0,,2,,
429,2,228994,14,,39.0,,5,,
430,2,229037,14,,251.0,,2,,251.0
431,2,229091,7,,215.0,,0,,159.0
432,2,229126,96,,8.0,,1,,
433,2,229424,40,,5.0,,0,,
434,2,229843,24,,215.0,,4,,
435,2,230039,84,,88.0,,1,,
436,2,230658,14,,215.0,,0,,509.0
437,2,230840,2,,215.0,,1,,
438,2,232963,10,,215.0,,1,,
439,2,233435,8,,30.0,,1,,30.0
440,2,233615,13,,36.0,,0,,
441,2,233678,5,,36.0,,0,,
442,2,233805,7,,36.0,,0,,
443,2,234392,7,,215.0,,0,,9007.0
445,2,234813,2,,215.0,,2,,
446,2,235065,7,,215.0,,0,,9007.0
447,2,235574,5,,215.0,,0,,
448,2,235575,6,,77.0,,0,,
449,2,235737,1,,215.0,,0,,
450,2,235802,6,,88.0,,3,,
451,2,236288,5,,215.0,,1,,24560.0
452,1,236701,9,9951.0,215.0,5.0,4,2.0,8.0
453,2,237245,8,,74.0,,0,,
454,2,238319,1,,62.0,,0,,
455,2,238693,27,,13.0,,1,,3807.0
456,2,239162,6,,39.0,,0,,39.0
457,2,239307,4,,,,3,,
458,2,240072,2,,226.0,,0,,
459,1,244788,7,367.0,259.0,4.0,0,,805.0
460,2,245020,6,,61.0,,2,,
461,2,245252,2,,71.0,,3,,
462,2,245462,8,,88.0,,0,,
463,2,246552,5,,90.0,,0,,
464,2,246883,3,,88.0,,4,,
465,2,247508,2,,90.0,,0,,
466,2,248034,5,,115.0,,0,,
467,2,248643,5,,115.0,,0,,
468,2,252304,4,,251.0,,0,,
469,2,252799,4,,251.0,,0,,
470,2,254138,32,,36.0,,6,,218.0
471,2,255478,14,,168.0,,1,,159.0
472,2,255634,6,,61.0,,0,,
473,2,268638,2,,260.0,,0,,
474,2,271278,5,,260.0,,0,,
475,2,273348,3,,253.0,,0,,
476,2,275672,7,,251.0,,0,,
477,2,277130,1,,251.0,,0,,
478,2,277997,12,,251.0,,4,,13280.0
479,2,286122,9,,128.0,,4,,
480,1,291516,14,1711.0,223.0,2.0,0,4.0,217.0
481,1,292647,7,885.0,199.0,3.0,0,1.0,
482,2,293092,5,,190.0,,0,,
483,2,294832,14,,88.0,,2,,2798.0
485,1,295690,48,4470.0,183.0,19.0,3,57.0,183.0
486,1,295875,17,23985.0,266.0,4.0,4,4.0,449.0
487,2,296128,9,,266.0,,1,,
488,2,296178,10,,183.0,,1,,30807.0
489,2,299155,3,,214.0,,0,,
490,1,299429,16,2262.0,223.0,6.0,2,12.0,486.0
491,2,299950,2,,268.0,,0,,
492,1,300676,10,534.0,210.0,6.0,3,2.0,919.0
493,2,300827,3,,268.0,,0,,
494,2,301362,6,,88.0,,2,,88.0
495,2,301422,6,,214.0,,1,,
496,2,301453,6,,190.0,,0,,
497,2,302031,3,,190.0,,4,,
498,1,302301,2,2137.0,62.0,5.0,11,,
499,1,302788,17,478.0,267.0,5.0,0,3.0,267.0
500,2,303389,2,,190.0,,1,,
501,2,303440,3,,88.0,,7,,223.0
502,2,303942,5,,,,0,,
503,2,303948,2,,256.0,,1,,
504,2,304429,4,,5.0,,0,,
505,2,304933,5,,88.0,,0,,
506,2,306657,13,,215.0,,1,,
507,1,308430,12,3303.0,215.0,4.0,1,4.0,
508,2,308513,1,,266.0,,0,,
509,2,308598,2,,,,0,,
510,2,308977,35,,266.0,,0,,
511,2,311540,26,,3807.0,,0,,
512,2,312774,8,,33.0,,2,,
513,2,314540,2,,260.0,,0,,
514,2,315413,2,,266.0,,0,,
515,2,316194,8,,270.0,,1,,17230.0
516,2,316844,3,,251.0,,0,,
517,1,318066,13,1760.0,68.0,3.0,2,4.0,68.0
518,2,318250,3,,88.0,,1,,
519,2,318777,4,,270.0,,2,,
520,2,318823,2,,190.0,,5,,
521,2,319145,7,,190.0,,0,,
522,2,324223,12,,39.0,,1,,39.0
523,2,324968,4,,74.0,,2,,74.0
524,1,325554,8,284.0,,3.0,0,5.0,
525,2,326027,9,,247.0,,0,,
526,1,328661,7,466.0,88.0,2.0,0,1.0,
527,1,335752,6,2504.0,114.0,6.0,2,2.0,930.0
528,2,340417,2,,3807.0,,1,,
529,2,340685,1,,,,4,,
530,2,345144,8,,159.0,,0,,
531,2,345888,4,,159.0,,0,,
532,2,351862,12,,159.0,,5,,
533,2,352136,7,,251.0,,1,,
534,1,352562,44,11149.0,159.0,14.0,6,26.0,159.0
535,2,352812,2,,251.0,,0,,251.0
537,2,355359,11,,,,0,,
538,2,362981,23,,260.0,,5,,556.0
539,1,368230,34,9369.0,174.0,8.0,2,15.0,
540,2,368276,9,,183.0,,0,,
541,2,368524,14,,159.0,,3,,
542,2,370178,7,,183.0,,0,,
543,2,371583,5,,183.0,,0,,
544,2,372451,13,,183.0,,0,,183.0
545,2,375323,1,,273.0,,0,,
546,2,375532,29,,183.0,,5,,509.0
547,2,376384,8,,88.0,,0,,
548,1,384712,5,571.0,266.0,1.0,0,,190.0
549,2,394135,3,,270.0,,1,,
550,2,395887,11,,5.0,,0,,5.0
551,2,398594,36,,215.0,,4,,919.0
552,2,399230,10,,215.0,,0,,
553,2,399760,6,,215.0,,0,,215.0
554,2,400142,10,,215.0,,0,,
555,1,400676,46,6287.0,,5.0,3,23.0,7290.0
556,2,400714,-1,,215.0,,1,,
557,2,401755,33,,215.0,,4,,30872.0
558,1,404133,11,339.0,39.0,4.0,0,3.0,
559,2,405041,5,,88.0,,0,,
560,2,405410,9,,5.0,,2,,
561,2,406187,12,,215.0,,0,,
562,1,406271,10,1005.0,5.0,5.0,1,14.0,9007.0
563,1,406400,8,1855.0,215.0,3.0,5,4.0,8.0
564,1,406670,5,1498.0,215.0,1.0,2,,8.0
565,2,406948,2,,88.0,,1,,
566,2,407152,7,,190.0,,6,,
567,2,407495,11,,92.0,,1,,92.0
568,2,408590,2,,92.0,,1,,
569,2,408764,3,,5.0,,0,,
570,1,410367,12,753.0,251.0,4.0,2,6.0,251.0
571,2,412181,6,,217.0,,1,,
572,2,412925,14,,251.0,,0,,251.0
573,1,416745,10,1043.0,190.0,2.0,3,2.0,930.0
574,2,418071,0,,88.0,,2,,
575,1,418445,14,6570.0,196.0,5.0,3,17.0,17230.0
576,2,420163,3,,36.0,,0,,
577,1,420552,79,22354.0,196.0,10.0,2,68.0,196.0
578,2,422332,2,,196.0,,1,,
579,2,422598,6,,88.0,,11,,17230.0
581,1,425556,4,3982.0,99.0,2.0,2,2.0,88.0
582,2,430700,4,,108.0,,1,,108.0
583,2,432426,37,,39.0,,2,,39.0
584,2,434683,0,,240.0,,0,,
585,2,434775,4,,240.0,,1,,
586,2,438088,3,,251.0,,0,,
587,2,446338,31,,159.0,,6,,
588,2,447721,6,,61.0,,4,,61.0
589,2,449693,6,,61.0,,0,,
590,1,464954,2,242.0,190.0,1.0,3,,190.0
591,2,466381,2,,200.0,,0,,
592,2,467572,3,,57.0,,2,,509.0
593,2,475748,3,,5.0,,1,,
594,1,501959,12,273.0,240.0,1.0,1,6.0,
595,2,503004,7,,223.0,,5,,223.0
596,1,503448,0,247.0,240.0,2.0,7,,240.0
597,2,503730,2,,240.0,,0,,
598,2,504920,5,,22.0,,2,,
599,2,505386,9,,61.0,,0,,805.0
600,2,506173,8,,30.0,,2,,
602,1,512980,3,247.0,88.0,2.0,2,2.0,
603,2,514453,3,,30.0,,5,,
604,1,515345,7,480.0,165.0,2.0,6,2.0,183.0
605,2,516348,1,,88.0,,1,,
606,2,527826,11,,30.0,,0,,
607,2,530981,70,,30.0,,1,,22047.0
608,1,536900,19,1244.0,196.0,1.0,9,9.0,196.0
609,2,544724,6,,223.0,,2,,223.0
610,2,551639,9,,159.0,,0,,
611,2,563783,4,,223.0,,2,,223.0
612,1,570691,12,3981.0,144.0,4.0,4,9.0,196.0
613,2,570805,9,,30.0,,4,,
614,1,572030,22,2267.0,107.0,11.0,6,18.0,107.0
615,2,572192,2,,88.0,,3,,
616,2,573913,6,,5.0,,0,,5.0
617,2,574379,9,,5.0,,1,,
618,2,583326,15,,54.0,,6,,54.0
619,2,590915,4,,240.0,,1,,
620,2,597856,3,,253.0,,0,,
621,2,604603,3,,88.0,,0,,
622,1,637941,15,3833.0,159.0,2.0,0,9.0,
623,2,640008,3,,87.0,,0,,
624,1,647591,3,239.0,59.0,1.0,0,2.0,930.0
625,2,648118,4,,159.0,,2,,159.0
626,2,650320,5,,30.0,,3,,
627,2,651202,10,,236.0,,0,,
628,2,657627,16,,,,3,,
631,1,663045,22,4341.0,88.0,4.0,0,9.0,
632,2,663805,4,,223.0,,4,,4856.0
633,1,667759,4,411.0,59.0,4.0,0,1.0,930.0
634,2,668805,7,,5.0,,0,,5.0
635,2,669021,13,,30.0,,1,,740.0
636,2,669037,1,,88.0,,4,,88.0
637,2,670953,4,,74.0,,0,,
638,1,671075,8,771.0,59.0,4.0,0,4.0,88.0
640,2,672054,12,,,,0,,
641,1,674453,4,1286.0,74.0,2.0,2,3.0,88.0
