Id,Count,ExcerptPostId
345,48,65560.0
346,18,65571.0
347,224,65622.0
348,110,
349,81,65155.0
351,23,
353,149,48003.0
354,75,67822.0
355,56,28280.0
356,441,28453.0
357,177,65139.0
358,26,9861.0
359,350,28667.0
361,157,28266.0
362,175,69060.0
363,28,
364,3,
368,11,80690.0
369,2,80679.0
373,70,
377,120,63410.0
378,581,17765.0
379,412,50711.0
380,53,
383,520,33253.0
384,67,47335.0
386,211,28927.0
387,3,65823.0
388,58,
389,42,
390,80,
391,32,40915.0
393,5,
394,13,
396,46,
397,92,69301.0
398,150,2601.0
399,42,65742.0
401,245,63404.0
402,10,16367.0
403,244,14282.0
405,210,28902.0
406,50,
407,30,
409,199,65137.0
410,17,
411,9,80688.0
412,9,
414,289,64377.0
416,39,
419,108,69311.0
420,136,62162.0
421,142,68063.0
422,24,
423,101,62164.0
425,636,21883.0
427,342,64221.0
428,4,
429,139,65141.0
430,743,14121.0
436,267,28303.0
437,12,
438,68,68977.0
441,56,66542.0
442,248,28794.0
443,253,31288.0
446,27,63087.0
447,154,
448,15,80394.0
449,247,15345.0
451,174,21867.0
452,33,
454,123,65147.0
455,111,
459,21,
460,4,
461,15,
462,128,68614.0
463,153,40435.0
465,320,61881.0
467,331,65135.0
469,319,33488.0
471,45,
473,97,92319.0
476,89,
478,6,
480,35,
481,357,28411.0
486,54,35793.0
488,27,
489,215,62169.0
490,158,
491,16,
492,111,33729.0
493,118,31987.0
494,18,
495,186,40433.0
497,12,
498,90,68627.0
499,208,65588.0
501,144,38344.0
505,261,8946.0
507,300,41299.0
508,60,14115.0
509,249,28259.0
510,91,
516,32,90804.0
517,40,68750.0
518,41,63299.0
523,30,99291.0
525,36,9210.0
529,1165,20486.0
530,5,80677.0
531,81,68712.0
532,28,69052.0
533,40,40834.0
534,154,40431.0
537,44,
538,181,15654.0
539,8,
540,42,15332.0
541,154,55903.0
546,155,63563.0
550,105,64665.0
551,2,65511.0
553,12,80776.0
554,201,28261.0
556,3,
557,22,
558,84,40523.0
559,60,62688.0
560,24,65331.0
562,21,79744.0
563,62,62404.0
564,141,38880.0
565,119,28268.0
567,7,
569,105,58823.0
571,5,
572,21,63374.0
574,30,
575,153,68621.0
579,7,80774.0
580,29,63310.0
585,21,62885.0
586,14,65323.0
587,158,86028.0
589,190,61386.0
591,380,28792.0
592,36,28774.0
594,39,65337.0
595,24,62233.0
596,8,
597,91,62620.0
599,12,
601,78,68824.0
602,70,
603,121,40438.0
605,22,94287.0
608,15,80705.0
616,138,
617,119,19849.0
619,26,90946.0
620,106,66505.0
621,429,28535.0
622,74,65167.0
623,135,62166.0
627,11,
628,160,32711.0
629,33,
631,329,30438.0
632,92,40521.0
633,10,
634,121,63406.0
636,514,33484.0
639,34,
640,131,99598.0
641,24,80780.0
642,78,8362.0
644,35,
648,25,65326.0
652,39,18635.0
653,33,70887.0
656,138,62322.0
661,44,93186.0
663,44,28282.0
667,60,68570.0
668,74,62332.0
669,49,
672,29,
673,10,
675,91,65816.0
676,72,35463.0
685,5,
688,76,71183.0
691,67,
694,170,47332.0
697,32,
700,40,
702,22,67080.0
703,56,
704,28,92489.0
708,282,38342.0
712,16,
717,158,62160.0
720,22,28278.0
721,63,62442.0
722,40,67819.0
725,18,65328.0
726,32,10756.0
730,95,64374.0
731,473,28224.0
732,108,79086.0
733,31,74031.0
735,7,80778.0
736,47,
737,76,68540.0
738,153,29148.0
739,47,
740,70,65169.0
741,9,
742,875,10273.0
743,10,
746,11,
748,30,
749,13,
752,34,
753,123,29931.0
754,36,
755,22,
758,22,
759,24,22111.0
760,23,87546.0
761,29,
762,46,
764,14,79453.0
765,22,
769,267,28297.0
770,40,
771,17,69108.0
772,68,
778,13,
779,66,63090.0
781,55,47317.0
783,36,63445.0
785,151,41502.0
786,17,
787,4,
788,7,62936.0
791,37,
793,11,
796,11,
800,27,
801,21,84223.0
802,121,65145.0
804,170,40683.0
805,15,45196.0
807,143,8842.0
808,86,50413.0
809,74,62406.0
810,44,65209.0
811,18,
813,225,30618.0
816,10,
820,39,68986.0
823,64,
825,107,28241.0
826,17,57082.0
827,36,
828,69,
829,38,65339.0
830,129,40832.0
831,46,63426.0
832,17,80782.0
835,33,
839,31,25280.0
840,11,
843,29,
844,9,
847,52,21881.0
849,16,66321.0
850,16,9856.0
851,16,
854,70,62518.0
855,39,
856,204,38517.0
857,14,
861,38,
862,8,
863,35,68962.0
865,208,40440.0
869,328,28929.0
870,12,
873,127,68411.0
875,111,37600.0
877,37,
881,23,
883,84,
885,116,22275.0
886,76,50297.0
887,70,50528.0
890,49,47851.0
892,34,
905,21,79438.0
908,9,
911,132,
912,53,67118.0
913,18,81216.0
914,31,65334.0
915,10,
917,20,
923,6,
924,67,
926,65,40836.0
927,77,48858.0
930,27,
934,38,65352.0
936,3,
937,35,
938,266,66456.0
939,19,80695.0
941,5,
942,58,60291.0
943,107,63413.0
945,128,65143.0
951,33,34386.0
956,105,76941.0
957,44,45325.0
958,18,46787.0
959,50,63109.0
960,90,41459.0
963,65,
964,37,61113.0
967,159,14286.0
968,3,13642.0
969,17,
970,34,21865.0
972,6,
973,19,
975,1624,28327.0
978,87,45728.0
979,111,65020.0
980,37,41631.0
983,6,34122.0
985,51,34124.0
988,53,68903.0
989,4,14609.0
993,20,90223.0
994,141,68971.0
995,9,40944.0
1004,31,80709.0
1006,66,
1009,31,81338.0
1010,12,
1011,13,79213.0
1013,54,
1015,10,
1016,151,69281.0
1017,40,
1018,20,
1031,16,21879.0
1033,167,69285.0
1036,56,
1037,8,16420.0
1039,73,
1040,13,63342.0
1044,35,
1047,101,17909.0
1048,82,43801.0
1049,48,81196.0
1050,66,38034.0
1052,49,67590.0
1054,18,35251.0
1055,5,103651.0
1057,40,68892.0
1058,13,66841.0
1061,13,
1064,3,
1068,6,
1069,13,
1070,37,
1071,454,36190.0
1073,64,
1074,24,
1075,16,62913.0
1077,122,65704.0
1079,10,
1080,49,28239.0
1081,18,47986.0
1084,10,68991.0
1087,6,
1094,4,
1095,24,67813.0
1096,28,
1097,67,68780.0
1098,57,
1100,5,
1101,29,
1105,3,
1106,17,
1108,52,
1109,61,80392.0
1111,31,
1114,60,68537.0
1116,2,
1124,20,
1126,23,
1129,6,
1130,14,56102.0
1132,4,
1133,8,
1134,27,72538.0
1135,20,
1136,62,
1137,31,
1139,225,66443.0
1140,44,80707.0
1143,360,79083.0
1147,64,92270.0
1149,63,99341.0
1150,55,65071.0
1151,50,
1154,23,41313.0
1155,28,
1156,40,64948.0
1157,53,
1158,35,
1159,38,
1160,63,
1161,25,
1166,88,80475.0
1167,13,
1168,9,21796.0
1169,20,
1171,26,47321.0
1174,6,66013.0
1175,51,
1177,26,
1178,18,
1180,36,
1183,63,68535.0
1184,16,62891.0
1185,56,55645.0
1186,8,
1187,58,47936.0
1190,14,
1191,42,66521.0
1198,104,
1201,57,
1202,26,79219.0
1205,32,62893.0
1209,16,
1211,60,67694.0
1212,13,23848.0
1213,132,64735.0
1214,17,
1217,60,41311.0
1218,11,66386.0
1220,2,65508.0
1221,2,
1224,104,24436.0
1225,15,
1227,42,
1230,28,
1231,108,49035.0
1232,34,
1233,32,80368.0
1234,23,71876.0
1235,140,32012.0
1239,28,25853.0
1240,6,66020.0
1242,22,40845.0
1243,117,68610.0
1244,3,
1246,28,44122.0
1253,11,
1254,6,
1257,19,92037.0
1258,45,
1259,5,27857.0
1260,81,
1262,7,27149.0
1264,18,
1266,6,
1267,5,
1269,6,
1270,8,
1272,75,
1277,8,
1278,31,
1279,9,
1282,10,
1284,120,65974.0
1285,42,
1287,5,
1289,16,
1290,13,67811.0
1291,5,
1292,5,
1293,69,63296.0
1294,5,63376.0
1295,29,103290.0
1297,10,29830.0
1299,61,81698.0
1302,60,
1303,6,
1304,28,
1305,45,79309.0
1306,6,
1307,11,
1308,16,30241.0
1309,38,30454.0
1310,25,
1313,2,
1319,15,80693.0
1321,9,65318.0
1322,38,38858.0
1323,36,
1324,58,
1325,155,32458.0
1327,5,65320.0
1328,19,
1329,4,
1334,9,38855.0
1336,23,
1338,150,65172.0
1339,9,
1343,7,37551.0
1344,32,34388.0
1345,38,35244.0
1347,18,
1356,45,38860.0
1361,3,
1362,77,35734.0
1364,40,38851.0
1368,3,80685.0
1371,35,
1372,4,
1373,65,
1374,103,37549.0
1375,17,54838.0
1380,6,
1381,32,
1382,2,38473.0
1384,4,
1386,4,52881.0
1388,9,49843.0
1390,11,
1392,11,
1395,75,68567.0
1396,3,40690.0
1397,54,
1398,21,40825.0
1402,33,51609.0
1403,21,
1404,67,
1405,35,
1406,3,
1412,4,
1414,30,44696.0
1415,22,
1420,17,
1421,15,
1423,4,65305.0
1424,7,44810.0
1425,2,44824.0
1428,16,45495.0
1429,17,
1431,6,
1433,22,46133.0
1435,54,46637.0
1436,2,46727.0
1437,1,46732.0
1438,19,
1439,45,
1444,6,47834.0
1449,4,65309.0
1451,12,
1453,33,49005.0
1454,92,69007.0
1455,24,
1457,26,49116.0
1458,22,
1460,10,
1462,5,77455.0
1463,24,68616.0
1466,1,49879.0
1468,6,
1469,4,50294.0
1471,11,
1473,7,86514.0
1475,20,
1477,4,
1479,24,
1480,10,51550.0
1482,27,51602.0
1483,1784,51952.0
1484,44,56647.0
1485,3,52549.0
1486,11,
1487,92,52547.0
1488,40,
1489,18,
1491,10,
1493,3,
1495,2,54602.0
1501,87,55972.0
1502,20,55697.0
1503,1,56028.0
1505,9,
1510,8,
1513,12,
1515,13,
1519,8,
1526,62,
1529,5,
1530,37,62155.0
1532,81,103049.0
1534,1,60287.0
1537,6,
1540,4,
1545,27,61120.0
1548,5,
1549,3,61586.0
1550,4,
1551,4,
1552,11,62978.0
1553,21,62980.0
1554,6,67698.0
1557,20,
1558,2,62701.0
1560,109,62343.0
1561,5,63421.0
1562,4,
1565,3,62934.0
1567,10,63265.0
1568,28,65535.0
1569,21,
1570,6,
1572,37,
1573,2,80671.0
1577,7,
1579,59,81363.0
1580,3,
1581,4,80681.0
1582,27,64367.0
1585,103,65303.0
1587,19,64871.0
1590,16,64946.0
1591,2,65076.0
1592,29,69057.0
1593,6,64995.0
1594,7,
1596,4,
1597,36,66452.0
1599,32,68668.0
1600,4,
1601,2,81232.0
1602,2,80667.0
1603,2,67809.0
1604,1,67110.0
1605,1,67217.0
1607,3,
1609,2,
1610,4,
1611,27,76604.0
1613,6,80669.0
1614,6,
1615,2,
1616,50,68561.0
1619,24,79198.0
1620,4,99045.0
1623,2,68981.0
1624,1,68979.0
1625,21,69044.0
1626,2,69079.0
1627,16,
1628,42,69199.0
1629,1,73839.0
1634,34,69680.0
1637,5,71400.0
1638,34,
1640,5,74455.0
1643,6,71181.0
1644,8,
1645,6,
1646,2,81234.0
1647,2,71821.0
1648,63,
1649,18,
1651,13,
1653,7,73934.0
1654,22,74428.0
1656,170,99539.0
1658,14,74430.0
1659,4,72984.0
1660,43,74457.0
1661,1,73890.0
1662,1,73443.0
1663,26,
1664,2,
1665,3,
1666,26,
1668,2,
1670,1,79672.0
1671,3,
1672,47,
1673,10,80661.0
1674,22,
1676,1,80766.0
1677,3,80665.0
1678,1,80663.0
1679,29,
1681,5,
1684,7,80673.0
1689,3,
1696,2,
1697,5,
1698,3,
1699,7,
1701,27,
1703,18,
1704,5,
1706,3,
1707,4,
1708,1,85832.0
1710,5,85829.0
1712,3,
1713,4,82619.0
1714,7,
1716,2,
1718,2,85823.0
1719,7,
1720,8,
1721,1,86337.0
1723,5,86549.0
1724,20,86507.0
1726,8,
1728,2,
1733,25,
1735,30,88969.0
1736,19,
1738,3,
1739,2,
1740,4,
1744,1,
1745,5,
1746,3,
1748,9,
1750,1,
1752,5,
1753,2,
1754,5,
1757,1,
1758,7,
1759,8,93050.0
1760,2,
1761,11,
1763,9,93739.0
1764,3,
1765,5,
1766,6,
1768,3,
1769,8,
1770,1,
1772,8,
1773,9,96235.0
1775,9,96219.0
1777,31,
1779,4,
1780,4,
1783,15,104826.0
1784,5,97865.0
1785,1,
1786,3,
1787,3,99142.0
1788,1,
1789,1,
1790,1,
1791,1,100217.0
1792,1,
1793,2,
1794,1,
1795,2,
1796,11,
1797,4,
1798,7,
1800,1,102938.0
1801,4,
1802,1,
1803,1,
1804,2,
1806,2,
1809,6,
1810,10,109442.0
1812,6,
1813,1,
1814,1,
1815,1,
1818,1,
1819,3,107659.0
1820,27,107801.0
1822,5,108053.0
1825,1,
1826,2,
1828,1,
1829,3,109367.0
1830,2,
1831,2,
1835,1,
1836,1,
1837,1,
1839,4,111165.0
1841,1,
1842,3,
1843,1,
1844,1,
1845,1,
1847,1,
1848,1,
1849,1,112069.0
1850,1,112071.0
1851,2,
1852,1,
1853,4,
1854,1,
1855,1,
1856,1,
1857,1,
1858,2,
1859,3,114058.0
1860,1,
1861,2,
1862,1,
1863,2,
1864,1,
1865,1,
1866,1,
1867,1,
1868,1,
1869,1,
